"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2012-2013","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",972,1009,1029,1005,1016,1013,1015,1068,1050,1091,10268
"2012-2013","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1114,1165,1120,1126,1127,1080,1098,1237,1125,1227,11419
"2012-2013","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",555,607,605,608,669,623,653,676,657,702,6355
"2012-2013","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",228,263,218,251,222,246,217,252,259,246,2402
"2012-2013","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",753,790,815,812,793,884,868,981,1015,1112,8823
"2012-2013","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1089,1081,1050,957,920,818,832,739,807,804,9097
"2012-2013","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",870,862,867,865,782,713,649,588,577,605,7378
"2012-2013","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1034,1096,969,927,834,749,625,611,502,472,7819
"2012-2013","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",184,182,167,159,179,164,120,138,147,160,1600
"2012-2013","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",176,202,158,166,128,135,130,131,128,144,1498
"2012-2013","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",1361,1327,1313,1307,1189,1166,1055,1048,928,980,11674
"2012-2013","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",746,778,743,740,734,681,703,707,659,729,7220
"2012-2013","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",70,70,80,64,59,70,62,55,42,55,627
"2012-2013","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",432,392,450,396,402,418,439,436,441,479,4285
"2012-2013","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1812,1866,1827,1668,1633,1549,1548,1462,1262,1315,15942
"2012-2013","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",545,529,599,493,525,515,502,494,464,429,5095
"2012-2013","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",199,191,205,170,198,178,204,210,221,205,1981
"2012-2013","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2207,2291,2306,2301,2376,2404,2406,2641,2508,2706,24146
