"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2016-2017","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1244,1315,1486,1550,1482,1523,1438,1532,1494,1494,14558
"2016-2017","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4364,4603,4844,4949,4845,4956,4989,4997,4969,5075,48591
"2016-2017","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1623,1780,1797,1768,1848,1766,1768,1767,1769,1829,17715
"2016-2017","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2182,2274,2316,2411,2461,2532,2403,2515,2399,2478,23971
"2016-2017","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2040,2195,2251,2306,2332,2269,2214,2200,2236,2301,22344
"2016-2017","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3532,3902,4147,4541,4688,4950,4791,4755,4883,4691,44880
"2016-2017","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1665,1777,1831,1893,1954,1898,1810,1912,1908,1895,18543
"2016-2017","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3419,3417,3471,3574,3579,3571,3531,3431,3485,3630,35108
"2016-2017","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",911,978,1030,990,1079,1056,1037,1006,1060,1027,10174
"2016-2017","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",350,300,326,306,328,318,300,302,300,302,3132
"2016-2017","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",371,376,418,360,359,345,336,356,340,343,3604
"2016-2017","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2094,2231,2234,2281,2292,2229,2160,2175,2230,2184,22110
"2016-2017","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",281,278,272,285,284,290,263,285,286,290,2814
"2016-2017","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",84,110,91,109,126,121,122,123,115,98,1099
"2016-2017","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",612,590,626,630,606,590,570,626,567,593,6010
"2016-2017","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1361,1425,1400,1454,1485,1504,1491,1444,1550,1485,14599
"2016-2017","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1271,1282,1312,1340,1342,1333,1304,1310,1330,1308,13132
"2016-2017","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1208,1212,1236,1207,1274,1287,1296,1262,1241,1312,12535
"2016-2017","B15199","Moose Factory Island DSAB","Public School Board",47,34,43,49,30,36,30,37,NA,10,NA
"2016-2017","B15202","Moosonee DSAB","Public School Board",26,27,27,26,27,24,33,22,33,19,264
"2016-2017","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",589,663,666,647,688,640,664,653,700,686,6596
"2016-2017","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1314,1357,1394,1440,1534,1521,1552,1520,1527,1583,14742
"2016-2017","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",155,161,167,200,198,207,186,197,184,210,1865
"2016-2017","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",175,171,140,187,189,206,194,172,175,204,1813
"2016-2017","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",126,129,161,156,132,129,139,137,101,84,1294
"2016-2017","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",2657,2693,2792,2840,2757,2708,2656,2659,2976,3192,27930
"2016-2017","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4358,4705,4841,4816,4941,4942,4941,4834,4869,4905,48152
"2016-2017","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10521,10694,11073,11265,11689,11693,11911,11720,11560,11530,113656
"2016-2017","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",23,23,17,28,26,27,24,25,24,21,238
"2016-2017","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",964,1008,1041,1016,1053,1026,1052,1014,1012,1025,10211
"2016-2017","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",793,821,844,864,906,870,846,868,859,855,8526
"2016-2017","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",149,152,170,171,175,184,179,180,199,182,1741
"2016-2017","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",356,378,370,395,374,373,314,332,339,355,3586
"2016-2017","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",613,576,629,573,592,621,591,541,613,604,5953
"2016-2017","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3366,3460,3567,3732,3626,3710,3641,3651,3664,3710,36127
"2016-2017","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1238,1330,1375,1448,1468,1412,1421,1417,1407,1442,13958
"2016-2017","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",571,616,640,638,669,568,632,633,622,633,6222
"2016-2017","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",391,391,386,429,389,418,405,372,396,414,3991
"2016-2017","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",62,55,68,69,78,76,67,79,85,83,722
"2016-2017","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",76,79,93,70,89,83,86,68,71,77,792
"2016-2017","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4766,5201,5049,5387,5376,5512,5313,5090,5216,5132,52042
"2016-2017","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",524,595,542,566,567,551,525,566,532,571,5539
"2016-2017","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",5806,5751,6014,6141,6140,6243,6176,6283,6187,6418,61159
"2016-2017","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17660,17797,17994,17764,17729,17659,16963,16318,15922,15827,171633
"2016-2017","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1001,1067,1129,1063,1135,1112,1037,1130,1080,1118,10872
"2016-2017","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1636,1670,1698,1807,1814,1861,1872,1776,1747,1831,17712
"2016-2017","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2336,2347,2368,2308,2392,2242,2355,2212,2253,2281,23094
"2016-2017","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1406,1419,1433,1546,1522,1529,1622,1559,1547,1538,15121
"2016-2017","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3937,4226,4435,4409,4363,4549,4350,4357,4313,4305,43244
"2016-2017","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",445,492,495,532,567,559,554,592,627,604,5467
"2016-2017","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1167,1158,1165,1252,1254,1285,1396,1436,1446,1527,13086
"2016-2017","B67075","York CDSB","Cath Dist Sch Brd (E/F)",3031,3176,3446,3672,3768,3908,3800,3867,3983,3797,36448
"2016-2017","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",7240,7267,8175,8485,8630,9089,8793,8778,8979,8905,84341
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",612,621,628,594,646,662,670,661,645,672,6411
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",712,822,773,835,823,831,857,800,734,751,7938
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",948,933,966,981,1064,1046,1045,1070,1049,1064,10166
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1137,1198,1199,1237,1168,1230,1194,1151,1172,1174,11860
"2017-2018","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",611,651,636,657,632,689,650,686,660,692,6564
"2017-2018","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",289,273,312,287,309,286,287,248,288,246,2825
"2017-2018","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",800,823,791,887,838,872,883,844,976,950,8664
"2017-2018","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1104,1128,1119,1104,1134,1027,1006,904,750,713,9989
"2017-2018","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1368,1431,1440,1446,1432,1466,1320,1299,1289,1100,13591
"2017-2018","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",207,201,194,182,190,190,178,205,144,184,1875
"2017-2018","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",176,193,190,171,205,184,196,156,129,94,1694
"2017-2018","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",212,204,199,208,199,190,191,197,179,197,1976
"2017-2018","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",758,725,766,756,775,762,778,718,678,670,7386
"2017-2018","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",68,69,74,71,71,76,61,73,63,62,688
"2017-2018","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",448,420,427,406,436,401,381,422,382,393,4116
"2017-2018","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1821,1908,1843,1908,1918,1979,1878,1829,1677,1654,18415
"2017-2018","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",474,511,486,529,518,510,514,509,462,484,4997
"2017-2018","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",822,867,855,796,813,817,794,817,778,768,8127
"2017-2018","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1237,1228,1201,1285,1223,1210,1126,1081,980,947,11518
"2017-2018","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2274,2375,2403,2471,2685,2571,2574,2535,2550,2652,25090
"2017-2018","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",396,411,421,434,420,435,417,413,401,422,4170
"2017-2018","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",4178,4564,4679,4758,4890,5167,5128,5118,5226,5388,49096
"2017-2018","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1268,1321,1367,1515,1584,1505,1539,1449,1540,1509,14597
"2017-2018","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4322,4577,4892,4921,5088,4943,5067,5104,5075,5048,49037
"2017-2018","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1642,1701,1797,1836,1784,1873,1794,1808,1780,1797,17812
"2017-2018","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2078,2396,2342,2427,2500,2561,2633,2487,2599,2501,24524
"2017-2018","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2083,2148,2306,2309,2350,2384,2318,2253,2242,2280,22673
"2017-2018","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3497,3803,4193,4314,4634,4825,5059,4943,4861,4977,45106
"2017-2018","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1774,1745,1812,1870,1927,1966,1920,1834,1941,1912,18701
"2017-2018","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3410,3588,3535,3505,3596,3617,3608,3574,3518,3591,35542
"2017-2018","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",986,974,1001,1040,1001,1109,1061,1061,1036,1079,10348
"2017-2018","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",303,362,318,339,312,334,323,305,293,301,3190
"2017-2018","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",360,387,381,400,372,348,339,329,340,342,3598
"2017-2018","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2292,2230,2315,2286,2319,2377,2301,2227,2201,2259,22807
"2017-2018","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",268,295,279,278,291,284,290,266,300,292,2843
"2017-2018","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",64,92,104,92,107,128,118,118,114,107,1044
"2017-2018","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",595,636,593,630,639,616,610,587,616,564,6086
"2017-2018","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1283,1395,1442,1414,1471,1487,1547,1527,1463,1564,14593
"2017-2018","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1212,1302,1269,1295,1336,1344,1336,1297,1331,1333,13055
"2017-2018","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1295,1321,1298,1316,1281,1359,1351,1367,1326,1266,13180
"2017-2018","B15199","Moose Factory Island DSAB","Public School Board",31,40,32,44,42,29,33,31,11,7,300
"2017-2018","B15202","Moosonee DSAB","Public School Board",23,32,26,30,26,28,26,34,22,32,279
"2017-2018","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",603,622,670,687,672,700,657,678,663,717,6669
"2017-2018","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1247,1334,1382,1395,1465,1533,1524,1515,1508,1545,14448
"2017-2018","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",156,161,170,173,197,215,209,191,200,184,1856
"2017-2018","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",150,185,167,147,188,197,216,201,198,173,1822
"2017-2018","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",128,129,123,165,160,123,128,137,128,90,1311
"2017-2018","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",2603,2840,2801,2916,2913,2873,2761,2732,2983,3104,28526
"2017-2018","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4470,4678,4853,4910,4975,5048,5058,5104,4753,5087,48936
"2017-2018","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10266,10948,11072,11257,11404,11864,11762,12002,11890,11786,114251
"2017-2018","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",33,32,29,17,32,29,31,29,30,28,290
"2017-2018","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",979,1020,1029,1069,1037,1086,1047,1057,1022,1012,10358
"2017-2018","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",803,820,842,863,885,917,889,865,861,878,8623
"2017-2018","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",159,170,156,180,168,184,186,176,190,202,1771
"2017-2018","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",384,367,378,369,399,375,385,325,345,363,3690
"2017-2018","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",624,614,580,613,576,597,611,601,546,600,5962
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3262,3537,3580,3641,3812,3685,3778,3716,3718,3737,36466
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1337,1356,1402,1448,1529,1528,1468,1473,1478,1450,14469
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",573,574,634,642,642,676,569,621,637,625,6193
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",398,403,397,397,430,399,419,399,409,404,4055
"2017-2018","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",65,63,58,69,70,79,79,62,77,86,708
"2017-2018","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",64,77,82,90,69,86,77,85,67,70,767
"2017-2018","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4919,5253,5432,5242,5552,5584,5671,5504,5278,5392,53827
"2017-2018","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",514,525,597,529,570,563,541,533,557,541,5470
"2017-2018","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",5726,5982,5965,6159,6248,6214,6309,6304,6376,6275,61558
"2017-2018","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17174,18232,17745,17775,17618,17691,17642,16784,16018,16288,172967
"2017-2018","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1003,1087,1117,1163,1106,1146,1132,1044,1132,1090,11020
"2017-2018","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1678,1730,1746,1701,1826,1822,1898,1900,1743,1824,17868
"2017-2018","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2254,2447,2373,2375,2346,2421,2270,2395,2259,2249,23389
"2017-2018","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1454,1559,1536,1517,1613,1590,1592,1706,1593,1560,15720
"2017-2018","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3934,4349,4350,4491,4484,4464,4666,4437,4408,4470,44053
"2017-2018","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",498,463,524,523,544,597,574,564,601,622,5510
"2017-2018","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1119,1226,1209,1222,1296,1307,1316,1430,1487,1479,13091
"2017-2018","B67075","York CDSB","Cath Dist Sch Brd (E/F)",2739,3086,3364,3476,3675,3783,3925,3793,3834,3971,35646
"2017-2018","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6488,7772,8033,8358,8706,8821,9281,8998,8952,9099,84508
"2018-2019","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",655,640,625,650,595,655,670,670,680,700,6535
"2018-2019","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",745,750,820,780,845,835,820,860,750,740,7945
"2018-2019","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",980,985,940,975,990,1050,1050,1060,1085,1075,10195
"2018-2019","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1205,1220,1245,1235,1270,1190,1265,1210,1160,1195,12195
"2018-2019","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",630,645,695,660,660,645,700,665,695,665,6665
"2018-2019","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",340,300,280,310,290,320,290,290,255,285,2955
"2018-2019","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",790,835,845,815,920,860,915,910,985,1010,8885
"2018-2019","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1205,1170,1170,1135,1125,1135,1025,995,785,735,10485
"2018-2019","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1300,1405,1420,1410,1415,1410,1410,1300,1315,1285,13675
"2018-2019","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",200,200,200,195,180,185,190,170,200,150,1870
"2018-2019","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",205,185,185,190,170,195,170,195,125,110,1725
"2018-2019","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",170,210,200,195,205,200,185,180,220,175,1935
"2018-2019","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",775,770,745,765,755,775,765,750,705,670,7485
"2018-2019","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",70,70,70,75,65,70,75,65,80,65,705
"2018-2019","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",425,435,415,415,395,430,395,380,410,390,4090
"2018-2019","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1845,1920,1970,1895,1930,1960,1990,1890,1725,1695,18815
"2018-2019","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",540,485,495,485,520,505,495,510,490,450,4965
"2018-2019","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",885,840,865,840,795,795,800,770,800,770,8165
"2018-2019","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1260,1335,1315,1240,1295,1225,1235,1130,1115,1030,12180
"2018-2019","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2410,2375,2545,2475,2545,2725,2630,2655,2620,2595,25580
"2018-2019","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",380,420,430,430,415,455,430,390,425,405,4180
"2018-2019","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",4255,4390,4730,4795,4870,5000,5230,5225,5135,5255,48885
"2018-2019","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1350,1340,1400,1420,1570,1635,1565,1580,1485,1565,14915
"2018-2019","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4355,4530,4915,5050,5075,5220,5090,5215,5205,5180,49835
"2018-2019","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1675,1740,1705,1825,1855,1825,1910,1825,1825,1810,17995
"2018-2019","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2130,2240,2440,2410,2485,2595,2630,2660,2525,2665,24780
"2018-2019","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2110,2190,2305,2335,2395,2430,2475,2390,2290,2290,23215
"2018-2019","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3595,3800,4090,4475,4475,4850,4990,5225,5100,4995,45605
"2018-2019","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1720,1825,1785,1860,1900,1955,2005,1925,1875,1960,18820
"2018-2019","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3455,3560,3680,3555,3520,3605,3635,3655,3640,3595,35900
"2018-2019","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",870,1025,990,1025,1050,1060,1125,1085,1095,1050,10370
"2018-2019","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",320,320,370,320,350,320,340,320,300,295,3255
"2018-2019","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",335,365,400,380,410,365,360,350,325,330,3615
"2018-2019","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2320,2490,2300,2340,2305,2360,2410,2325,2260,2215,23330
"2018-2019","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",270,275,290,275,285,295,285,300,295,290,2850
"2018-2019","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",70,70,95,110,95,105,125,120,110,115,1020
"2018-2019","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",640,635,630,595,640,635,620,595,580,610,6185
"2018-2019","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1365,1345,1435,1445,1440,1530,1505,1555,1550,1495,14665
"2018-2019","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1240,1265,1310,1290,1310,1350,1355,1345,1365,1350,13180
"2018-2019","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1370,1375,1390,1380,1365,1365,1400,1405,1405,1370,13825
"2018-2019","B15199","Moose Factory Island DSAB","Public School Board",30,35,45,30,45,45,30,35,NA,NA,310
"2018-2019","B15202","Moosonee DSAB","Public School Board",25,25,30,25,30,25,30,25,NA,NA,260
"2018-2019","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",620,630,620,680,675,695,720,675,680,705,6700
"2018-2019","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1275,1330,1370,1420,1410,1495,1545,1505,1495,1520,14365
"2018-2019","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",175,170,170,165,175,200,205,205,180,195,1840
"2018-2019","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",155,165,205,175,160,185,220,220,205,185,1875
"2018-2019","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",105,130,120,125,160,160,120,110,125,115,1270
"2018-2019","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",2585,2815,2990,2960,3060,3045,3015,2845,3095,3140,29545
"2018-2019","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4485,4750,4850,4970,5020,5095,5210,5190,5015,4955,49535
"2018-2019","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10145,10850,11460,11345,11480,11585,12090,11875,12200,12065,115100
"2018-2019","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",55,35,35,30,25,35,30,35,30,35,345
"2018-2019","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",980,990,1030,1030,1090,1055,1080,1045,1040,1015,10350
"2018-2019","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",855,850,860,880,880,910,945,910,870,905,8870
"2018-2019","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",140,170,170,160,180,165,190,185,180,195,1740
"2018-2019","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",375,405,375,375,375,400,375,380,320,360,3735
"2018-2019","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",580,620,610,570,615,585,595,600,610,535,5935
"2018-2019","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3625,3505,3640,3660,3730,3885,3775,3845,3765,3780,37205
"2018-2019","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1315,1420,1415,1445,1505,1575,1575,1490,1530,1510,14780
"2018-2019","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",510,595,585,640,645,645,670,580,615,625,6115
"2018-2019","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",380,425,415,385,405,435,385,425,430,425,4105
"2018-2019","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",55,65,60,65,75,65,75,75,65,70,665
"2018-2019","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",70,65,80,80,90,70,90,80,80,65,770
"2018-2019","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5065,5340,5430,5565,5400,5660,5740,5825,5660,5395,55080
"2018-2019","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",510,530,535,585,530,570,565,555,525,570,5470
"2018-2019","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",5915,6000,6225,6135,6295,6345,6410,6500,6405,6485,62715
"2018-2019","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17010,17775,18300,17545,17645,17580,17520,17430,16325,16360,173485
"2018-2019","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1015,1065,1110,1120,1160,1120,1165,1145,1060,1130,11080
"2018-2019","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1605,1735,1780,1775,1730,1845,1840,1920,1835,1765,17830
"2018-2019","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2300,2340,2475,2385,2400,2390,2425,2310,2425,2290,23745
"2018-2019","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1525,1595,1635,1615,1590,1680,1660,1640,1725,1615,16285
"2018-2019","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4095,4295,4450,4435,4535,4545,4510,4745,4505,4495,44610
"2018-2019","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",555,540,495,555,545,565,635,590,590,605,5665
"2018-2019","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1175,1210,1300,1260,1265,1335,1360,1385,1505,1525,13320
"2018-2019","B67075","York CDSB","Cath Dist Sch Brd (E/F)",2535,2895,3360,3425,3530,3720,3815,3950,3790,3855,34880
"2018-2019","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6830,7185,8830,8370,8625,8970,9070,9595,9290,9205,85970
