"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","073065","Fred C Cook Public School","Public","Not applicable","Elementary","English","JK-8","20 Fletcher St","Bradford-West Gwillimbury","Bradford","L3Z1L9","445",44.12006,-79.5673,10,100,0,0,20,0,90,85,69,60,51,11,NA,NA,NA,10,10,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","928151","Georgian Bay District Secondary School","Public","Not applicable","Secondary","English","9-12","925 Hugel Avenue","Midland","Midland","L4R1X8","810",44.742064,-79.90135,1,100,0,1,26,0,NA,NA,NA,NA,NA,NA,73,31,61,13,6,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","221740","Goodfellow Public School","Public","Not applicable","Elementary","English","JK-8","827 9th Line","Innisfil","Innisfil","L9S1A6","590",44.32784,-79.5448,4,100,0,1,12,0,61,47,43,88,76,59,NA,NA,NA,15,3,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","233480","Guthrie Public School","Public","Not applicable","Elementary","English","JK-8","22 5 LINE RR 1","Oro-Medonte","Oro-Medonte","L0L2E0","455",44.46513,-79.5651,0,100,0,0,10,0,82,74,76,91,91,74,NA,NA,NA,10,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","244996","Harriett Todd Public School","Public","Not applicable","Elementary","English","JK-8","11 George St","Orillia","Orillia","L3V2V1","540",44.59856,-79.4323,2,100,1,0,18,0,70,82,73,49,46,20,NA,NA,NA,31,10,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","485183","Hewitt's Creek Public School","Public","Not applicable","Elementary","English","JK-8","41 Sandringham Drive","Barrie","Barrie","L4N0J9","700",44.35964,-79.6213,13,100,1,1,13,0,94,91,88,88,82,65,NA,NA,NA,9,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","257346","Hillcrest Public School","Public","Not applicable","Elementary","English","JK-8","184 Toronto St","Barrie","Barrie","L4N1V5","505",44.39403,-79.6989,6,99,2,3,17,1,59,51,48,71,63,26,NA,NA,NA,22,15,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","595047","Hillsdale Elementary School","Public","Not applicable","Elementary","English","JK-8","16 Albert St E","Oro-Medonte","Hillsdale","L0L1V0","215",44.5831,-79.7604,0,100,0,0,20,0,78,70,70,79,64,21,NA,NA,NA,10,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","263079","Holly Meadows Elementary School","Public","Not applicable","Elementary","English","JK-8","151 Mapleton Ave","Barrie","Barrie","L4N9N7","655",44.34017,-79.715,7,99,3,3,16,1,62,53,57,86,70,36,NA,NA,NA,13,3,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","595861","Hon Earl Rowe Public School","Public","Not applicable","Elementary","English","JK-8","2516 12 Line RR 2","Bradford-West Gwillimbury","Bradford","L3Z2A5","185",44.17521,-79.5826,10,100,5,5,10,0,94,81,94,94,94,50,NA,NA,NA,10,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","273988","Huron Park Public School","Public","Not applicable","Elementary","English","JK-8","425 Robert St","Midland","Midland","L4R2M2","355",44.74359,-79.8764,0,100,0,0,20,0,69,58,53,64,62,38,NA,NA,NA,30,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","274542","Huronia Centennial Public School","Public","Not applicable","Elementary","English","JK-8","28 Simcoe St","Springwater","Elmvale","L0L1P0","535",44.58142,-79.862,1,100,0,0,19,0,90,84,75,75,77,40,NA,NA,NA,11,2,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","225946","Hyde Park Public School","Public","Not applicable","Elementary","English","JK-8","72 The Queensway","Barrie","Barrie","L4M7J3","595",44.35975,-79.6069,8,100,3,3,14,1,89,90,86,87,89,40,NA,NA,NA,10,1,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","918253","Innisdale Secondary School","Public","Not applicable","Secondary","English","9-12","87 Little Ave","Barrie","Barrie","L4N4K8","1720",44.36064,-79.6837,8,100,1,1,21,2,NA,NA,NA,NA,NA,NA,74,28,83,11,4,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","275670","Innisfil Central Public School","Public","Not applicable","Elementary","English","JK-8","2075 5th Line","Innisfil","Lefroy","L0L1W0","155",44.26491,-79.5972,5,100,0,0,10,0,93,57,71,82,86,64,NA,NA,NA,15,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","124761","James Keating Public School","Public","Not applicable","Elementary","English","JK-8","20 Lorne Ave","Penetanguishene","Penetanguishene","L9M1B2","265",44.77387,-79.9261,0,95,0,0,10,0,64,42,48,65,50,23,NA,NA,NA,25,10,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","285684","Johnson Street Public School","Public","Not applicable","Elementary","English","JK-8","105 Johnson St","Barrie","Barrie","L4M4R4","225",44.39964,-79.656,10,100,5,10,15,0,44,56,44,65,55,15,NA,NA,NA,15,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","311251","Killarney Beach Public School","Public","Not applicable","Elementary","English","JK-8","850 20th Sideroad RR 1","Innisfil","Lefroy","L0L1W0","295",44.25742,-79.5647,5,100,0,0,15,0,68,79,61,88,76,32,NA,NA,NA,20,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","034808","Lake Simcoe Public School","Public","Not applicable","Elementary","English","JK-8","1701 Webster Blvd","Innisfil","Innisfil","L9S2A6","435",44.29789,-79.5576,10,100,5,5,15,0,85,73,76,87,89,42,NA,NA,NA,10,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","087934","Lions Oval Public School","Public","Not applicable","Elementary","English","JK-8","25 BRANT ST","Orillia","ORILLIA","L3V3N6","455",44.61236,-79.4243,0,95,5,0,30,0,70,60,58,64,69,47,NA,NA,NA,35,15,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","334820","Maple Grove Public School","Public","Not applicable","Elementary","English","JK-8","242 Grove St E","Barrie","Barrie","L4M2P9","475",44.40595,-79.6785,10,100,0,0,20,0,62,51,47,73,54,17,NA,NA,NA,20,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","336289","Mapleview Heights Elementary School","Public","Not applicable","Elementary","English","JK-8","180 Esther Dr","Barrie","Barrie","L4N9S9","620",44.34957,-79.6473,13,100,3,4,13,0,80,82,67,87,84,61,NA,NA,NA,12,1,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","337862","Marchmont Public School","Public","Not applicable","Elementary","English","JK-8","1902 DIVISION RD West","Orillia","ORILLIA","L3V6H2","375",44.626,-79.50061,0,100,0,0,15,0,67,69,56,69,69,33,NA,NA,NA,10,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","366544","Minesing Central Public School","Public","Not applicable","Elementary","English","JK-8","7 Huron St","Springwater","Minesing","L9X1J2","490",44.44286,-79.8402,0,100,0,0,10,5,83,62,60,91,81,72,NA,NA,NA,5,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","378089","Mountain View Public School","Public","Not applicable","Elementary","English","JK-8","300 Spruce St","Collingwood","Collingwood","L9Y3H1","375",44.49666,-80.2307,0,100,0,0,15,5,97,93,70,82,78,33,NA,NA,NA,20,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","466951","Mundy's Bay Elementary Public School","Public","Not applicable","Elementary","English","JK-8","340 SIXTH ST","Midland","MIDLAND","L4R3Y4","570",44.74429,-79.8921,2,99,1,1,14,0,55,42,64,73,67,45,NA,NA,NA,25,7,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","927724","Nantyr Shores Secondary School","Public","Not applicable","Secondary","English","9-12","1146 Anna Maria Ave","Innisfil","Innisfil","L9S4X5","1160",44.30515,-79.5552,5,99,1,1,21,1,NA,NA,NA,NA,NA,NA,73,35,89,10,10,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","384259","New Lowell Central Public School","Public","Not applicable","Elementary","English","JK-8","5197 County Rd 9","Clearview","New Lowell","L0M1N0","245",44.35872,-79.9671,0,100,0,0,20,0,65,48,57,78,78,26,NA,NA,NA,5,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","931727","North Simcoe Campus","Public","Adult","Secondary","English","9-12",NA,NA,NA,NA,"SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","412430","Nottawa Elementary School","Public","Not applicable","Elementary","English","JK-8","81 Batteaux Rd RR 2","Clearview","Collingwood","L0M1P0","300",44.46144,-80.1989,0,100,0,0,20,0,69,69,66,83,72,21,NA,NA,NA,10,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","902636","Nottawasaga Pines Secondary School","Public","Not applicable","Secondary","English","9-12","8505 County Road 10","Essa","Angus","L0M1B1","735",44.31267,-79.8842,4,99,1,1,28,0,NA,NA,NA,NA,NA,NA,83,54,64,9,6,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","412570","Nottawasaga and Creemore Public School","Public","Not applicable","Elementary","English","JK-8","240 Collingwood St","Clearview","Creemore","L0M1G0","215",44.32477,-80.1102,0,100,0,0,15,0,53,47,47,88,75,42,NA,NA,NA,15,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","414123","Oakley Park Public School","Public","Not applicable","Elementary","English","JK-8","22 Davidson St","Barrie","Barrie","L4M3R8","320",44.39948,-79.6883,5,100,5,0,20,0,50,42,55,67,57,19,NA,NA,NA,30,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","419346","Orchard Park Elementary School","Public","Not applicable","Elementary","English","JK-8","24 Calverley St","Orillia","Orillia","L3V3T4","440",44.61993,-79.4311,0,100,0,0,20,0,73,63,71,76,63,47,NA,NA,NA,20,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","902276","Orillia Campus","Public","Adult","Secondary","English","9-12",NA,NA,NA,NA,"SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","968729","Orillia Secondary School","Public","Not applicable","Secondary","English","9-12","250 Collegiate Drive","Orillia","Orillia","L3V7S5","1090",44.61232,-79.4342,2,100,0,0,22,1,NA,NA,NA,NA,NA,NA,85,57,77,11,7,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","122092","Pine River Elementary School","Public","Not applicable","Elementary","English","JK-8","45 Brian Ave","Essa","Angus","L0M1B3","305",44.32202,-79.8925,0,100,0,0,15,0,70,56,56,68,71,21,NA,NA,NA,10,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","451649","Portage View Public School","Public","Not applicable","Elementary","English","JK-8","124 Letitia St","Barrie","Barrie","L4N1P5","605",44.3919,-79.7151,7,100,2,2,18,0,57,62,40,83,72,45,NA,NA,NA,27,6,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","472360","Rama Central Public School","Public","Not applicable","Elementary","English","JK-8","7269 County Rd 169 RR 1","Ramara","Washago","L0K2B0","205",44.72668,-79.2865,0,100,0,0,20,0,74,63,67,70,70,35,NA,NA,NA,10,10,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","480037","Regent Park Public School","Public","Not applicable","Elementary","English","JK-8","485 Regent St","Orillia","Orillia","L3V4E2","535",44.59856,-79.3979,3,100,0,0,19,1,48,40,48,72,63,50,NA,NA,NA,32,16,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","636037","Severn Shores Public School","Public","Not applicable","Elementary","English","JK-8","2746 Cumberland Road","Orillia","Orillia","L3V6H3","365",44.70246,-79.3903,0,100,0,0,10,0,74,66,63,79,68,36,NA,NA,NA,15,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","507946","Shanty Bay Public School","Public","Not applicable","Elementary","English","JK-8","1871 Ridge Rd W RR 3","Oro-Medonte","Shanty Bay","L0L2L0","140",44.41446,-79.5764,0,100,0,5,15,0,93,71,71,NA,NA,NA,NA,NA,NA,5,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","917231","Simcoe Alternative Secondary School","Public","Alternative","Secondary","English","9-12","630 Huronia Road","Barrie","Barrie","L4N0W5","310",44.38294,-79.694,0,100,0,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","595993","Sir William Osler Public School","Public","Not applicable","Elementary","English","JK-8","3823 County Road 88 RR 1","Bradford-West Gwillimbury","Bradford","L3Z3K4","140",44.09584,-79.6444,5,100,5,5,25,0,79,79,64,83,78,56,NA,NA,NA,10,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","945196","Stayner Collegiate Institute","Public","Not applicable","Secondary","English","9-12","7578 Hwy 26 RR 2","Clearview","Stayner","L0M1S0","295",44.42695,-80.097,0,100,0,0,25,0,NA,NA,NA,NA,NA,NA,63,40,68,10,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","535281","Steele Street Public School","Public","Not applicable","Elementary","English","JK-8","36 Steele St","Barrie","Barrie","L4M2E7","350",44.40319,-79.6713,5,100,0,0,25,0,69,57,60,59,51,35,NA,NA,NA,20,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","543438","Sunnybrae Public School","Public","Not applicable","Elementary","English","JK-8","216 Sunnybrae Ave","Innisfil","Stroud","L9S1A8","400",44.32627,-79.6171,5,100,0,0,10,0,86,80,66,94,91,53,NA,NA,NA,5,10,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","574287","Tay Shores Public School","Public","Not applicable","Elementary","English","JK-8","125 Jephson Street","Tay","Victoria Harbour","L0K2A0","525",44.751,-79.7706,0,100,0,1,18,0,56,53,47,57,51,17,NA,NA,NA,17,4,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","040509","Tecumseth Beeton Elementary School","Public","Not applicable","Elementary","English","JK-8","43 Patterson St","New Tecumseth","Beeton","L0G1A0","330",44.08114,-79.782,0,100,0,0,15,0,71,59,44,68,58,37,NA,NA,NA,10,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","521248","Tecumseth South Central Public School","Public","Not applicable","Elementary","English","JK-8","2124 10TH SIDEROAD RR 3","New Tecumseth","TOTTENHAM","L0G1W0","170",44.04289,-79.77362,0,100,0,0,20,0,86,71,57,80,80,60,NA,NA,NA,15,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","551090","Terry Fox Elementary School","Public","Not applicable","Elementary","English","JK-8","100 LIVINGSTONE ST","Barrie","BARRIE","L4M6X9","535",44.41563,-79.7022,12,100,4,4,15,0,82,74,74,75,72,51,NA,NA,NA,12,7,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","557897","Tosorontio Central Public School","Public","Not applicable","Elementary","English","JK-8","7016 County Rd 13 RR 3","Adjala-Tosorontio","Everett","L0M1J0","360",44.22467,-79.9621,0,100,0,0,10,0,69,66,59,71,66,29,NA,NA,NA,10,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","559075","Tottenham Public School","Public","Not applicable","Elementary","English","JK-8","21 Rogers Rd","New Tecumseth","Tottenham","L0G1W0","355",44.0203,-79.8018,5,100,0,0,10,0,70,76,48,76,71,35,NA,NA,NA,10,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","547123","Trillium Woods Elementary Public School","Public","Not applicable","Elementary","English","JK-8","20 Elmbrook Dr","Barrie","Barrie","L4N0Z1","500",44.34289,-79.6994,5,100,0,0,15,0,90,90,69,82,78,48,NA,NA,NA,15,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","948870","Twin Lakes Secondary School","Public","Not applicable","Secondary","English","9-12","381 Birch St","Orillia","Orillia","L3V2P5","805",44.59354,-79.4339,1,100,0,0,26,2,NA,NA,NA,NA,NA,NA,87,17,61,13,6,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","337030","Uptergrove Public School","Public","Not applicable","Elementary","English","JK-8","4833 Muley Point Rd","Ramara","Ramara","L3V8C3","285",44.59916,-79.3035,0,100,0,0,20,0,73,67,55,72,69,52,NA,NA,NA,10,10,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","579190","W. C. Little Elementary School","Public","Not applicable","Elementary","English","JK-8","11 Bear Creek Dr","Barrie","Barrie","L4N9M9","600",44.32856,-79.7302,5,100,2,2,14,1,75,78,75,81,82,61,NA,NA,NA,12,8,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","585599","W. H. Day Elementary School","Public","Not applicable","Elementary","English","JK-8","410 Maplegrove Ave","Bradford-West Gwillimbury","Bradford","L3Z2V4","680",44.10451,-79.5695,12,100,2,2,10,0,63,56,53,81,73,47,NA,NA,NA,14,9,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","580520","W. R. Best Memorial Public School","Public","Not applicable","Elementary","English","JK-8","2221 OLD BARRIE RD 2","Oro-Medonte","SHANTY BAY","L0L2L0","375",44.49022,-79.6642,0,100,0,0,20,0,80,67,73,87,82,61,NA,NA,NA,5,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","357316","Warminster Elementary School","Public","Not applicable","Elementary","English","JK-8","4031 Line 13 N","Oro-Medonte","Warminster","L0K2G0","240",44.6389,-79.5452,0,100,0,0,15,0,74,68,87,84,53,53,NA,NA,NA,15,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","586846","Warnica Public School","Public","Not applicable","Elementary","English","JK-8","211 Warnica Rd","Barrie","Barrie","L4N3Z2","340",44.35916,-79.6477,10,100,5,0,10,0,NA,NA,61,87,91,45,NA,NA,NA,5,0,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","594970","West Bayfield Elementary School","Public","Not applicable","Elementary","English","JK-8","49 Ford St","Barrie","Barrie","L4N7J4","535",44.4074,-79.7205,5,100,2,3,20,1,71,70,55,83,77,25,NA,NA,NA,21,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","612405","Willow Landing Elementary School","Public","Not applicable","Elementary","English","JK-8","330 Big Bay Point Rd","Barrie","Barrie","L4N8A8","605",44.35429,-79.6617,5,100,3,2,17,0,64,60,57,76,64,36,NA,NA,NA,15,3,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","429619","Worsley Elementary School","Public","Not applicable","Elementary","English","JK-8","31 40th St","Wasaga Beach","Wasaga Beach","L9Z1Z9","570",44.47926,-80.0643,1,100,1,2,14,1,79,67,41,68,66,27,NA,NA,NA,14,5,NA
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)","622028","Wyevale Central Public School","Public","Not applicable","Elementary","English","JK-8","20 Concession 5","Tiny","Wyevale","L0L2T0","260",44.65485,-79.9245,5,100,0,0,5,0,80,87,63,86,82,73,NA,NA,NA,5,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","693634","Canadian Martyrs Catholic School","Catholic","Not applicable","Elementary","English","JK-8","7 Bellisle Rd","Penetanguishene","Penetanguishene","L9M1N6","220",44.7641,-79.9373,0,100,0,0,40,0,53,57,33,74,59,30,NA,NA,NA,30,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","706930","Father F X O'Reilly School","Catholic","Not applicable","Elementary","English","JK-8","235 Queen St N","New Tecumseth","Tottenham","L0G1W0","450",44.03221,-79.8088,10,100,0,0,20,0,61,57,39,81,62,43,NA,NA,NA,15,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","729663","Foley Catholic School","Catholic","Not applicable","Elementary","English","JK-8","2162 Concession Rd 4","Ramara","Brechin","L0K1B0","55",44.5481,-79.1729,0,100,0,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","720518","Holy Cross Catholic School","Catholic","Not applicable","Elementary","English","JK-8","910 Leslie Drive","Innisfil","Innisfil","L9S1A7","555",44.3226,-79.5467,7,100,2,2,27,1,70,74,67,58,69,21,NA,NA,NA,15,4,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","716413","Holy Family School","Catholic","Not applicable","Elementary","English","JK-8","180 King St S","New Tecumseth","Alliston","L9R1B9","450",44.14254,-79.8769,5,100,0,0,15,0,82,69,59,88,85,45,NA,NA,NA,10,10,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","711098","Holy Trinity High School","Catholic","Not applicable","Secondary","English","9-12","100 Melbourne Dr","Bradford-West Gwillimbury","Bradford","L3Z2B3","650",44.1077,-79.5789,12,100,4,4,21,1,NA,NA,NA,NA,NA,NA,79,29,75,11,8,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","723630","Jean Vanier Catholic High School","Catholic","Not applicable","Secondary","English","9-12","160 Collins St","Collingwood","Collingwood","L9Y4R1","485",44.4898,-80.2073,0,100,0,5,25,0,NA,NA,NA,NA,NA,NA,88,25,72,10,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","732303","Monsignor Castex Separate School","Catholic","Not applicable","Elementary","English","JK-8","120 Penetanguishene Rd","Midland","Midland","L4R4Z6","220",44.7444,-79.9135,0,100,0,0,35,0,82,68,55,86,67,48,NA,NA,NA,20,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","732311","Monsignor Clair Separate School","Catholic","Not applicable","Elementary","English","JK-8","345 Livingstone St E","Barrie","Barrie","L4M7B5","240",44.4138,-79.6853,0,100,0,0,30,0,71,64,54,94,83,53,NA,NA,NA,20,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","733563","Monsignor J E Ronan Catholic School","Catholic","Not applicable","Elementary","English","JK-8","10 Lily St E","New Tecumseth","Beeton","L0G1A0","350",44.0917,-79.7875,0,100,0,0,20,0,79,75,67,78,78,41,NA,NA,NA,10,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","732354","Monsignor Lee Separate School","Catholic","Not applicable","Elementary","English","JK-8","14 Fitton's Rd E","Orillia","Orillia","L3V2H9","350",44.61728,-79.4222,0,100,0,5,35,0,59,68,44,93,81,41,NA,NA,NA,25,10,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","733520","Monsignor Michael O'Leary School","Catholic","Not applicable","Elementary","English","JK-8","2 Tamarack Trail","Bracebridge","Bracebridge","P1L1Z2","315",45.0455,-79.3311,0,100,0,0,30,0,69,69,46,83,77,53,NA,NA,NA,15,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","737372","Notre Dame Catholic School","Catholic","Not applicable","Elementary","English","JK-8","140 Atlantis Drive","Orillia","Orillia","L3V0A8","510",44.6112,-79.4633,1,100,1,1,25,0,67,69,62,87,83,49,NA,NA,NA,10,4,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","744611","Our Lady of Grace School","Catholic","Not applicable","Elementary","English","JK-8","24 Roth St","Essa","Angus","L0M1B2","610",44.32567,-79.8859,4,99,2,3,32,0,55,50,28,62,56,25,NA,NA,NA,10,3,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","745391","Our Lady of Lourdes Separate School","Catholic","Not applicable","Elementary","English","JK-8","34 Kerr Street","Springwater","Elmvale","L0L1P0","230",44.58631,-79.8631,0,100,0,0,20,0,65,31,31,95,74,32,NA,NA,NA,10,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","751103","Patrick Fogarty Secondary School","Catholic","Not applicable","Secondary","English","9-12","15 Commerce Road","Orillia","Orillia","L3V0Z2","800",44.62628,-79.4317,2,100,1,1,22,0,NA,NA,NA,NA,NA,NA,87,32,76,11,7,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","756962","Sacred Heart School","Catholic","Not applicable","Elementary","English","JK-8","241 Elizabeth Street","Midland","Midland","L4R1Y5","190",44.7531,-79.8728,0,100,0,0,60,0,68,72,52,79,58,11,NA,NA,NA,35,10,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","808007","Saint Gabriel the Archangel Catholic School","Catholic","Not applicable","Elementary","English","JK-8","130 Prince William Way","Barrie","Barrie","L4M7G4","630",44.35903,-79.6114,2,100,2,1,29,0,65,66,46,78,78,33,NA,NA,NA,10,1,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","714208","Saint Mary's School","Catholic","Not applicable","Elementary","English","JK-8","36 Silverwood Dr","Huntsville","Huntsville","P1H1N1","200",45.3298,-79.2372,5,100,0,0,25,0,50,38,29,74,78,19,NA,NA,NA,15,5,NA
