"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","320919","Lord Dufferin Junior and Senior Public School","Public","Not applicable","Elementary","English","JK-8","350 Parliament St","Toronto, City of","Toronto","M5A2Z7","420",43.66082,-79.3673,50,100,20,25,15,0,50,44,47,80,77,30,NA,NA,NA,30,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","308560","Lord Lansdowne Junior Public School","Public","Not applicable","Elementary","English","JK-6","33 Robert St","Toronto, City of","Toronto","M5S2K2","300",43.65895,-79.4019,10,95,0,5,0,0,NA,NA,78,89,93,81,NA,NA,NA,10,5,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","321699","Lord Roberts Junior Public School","Public","Not applicable","Elementary","English","JK-6","165 Lord Roberts Dr","Toronto, City of","Scarborough","M1K3W5","335",43.74142,-79.2637,50,100,20,15,10,0,64,57,57,91,88,56,NA,NA,NA,15,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","324647","Lucy Maud Montgomery Public School","Public","Not applicable","Elementary","English","JK-8","95 Murison Blvd","Toronto, City of","Scarborough","M1B2L6","215",43.79691,-79.2094,30,100,10,5,25,0,59,59,59,92,92,83,NA,NA,NA,5,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","675326","Lucy McCormick Senior School","Public","Not applicable","Elementary","English","1-8","2717 Dundas St W","Toronto, City of","Toronto","M6P1Y1","65",43.66463,-79.4602,20,100,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","326372","Lynngate Junior Public School","Public","Not applicable","Elementary","English","JK-6","129 Cass Ave","Toronto, City of","Scarborough","M1T2B5","155",43.77664,-79.3006,35,100,10,10,20,0,60,45,45,81,81,56,NA,NA,NA,10,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","326500","Lynnwood Heights Junior Public School","Public","Not applicable","Elementary","English","JK-6","50 Southlawn Dr","Toronto, City of","Toronto","M1S1J1","140",43.79659,-79.2913,60,100,20,20,25,0,75,67,83,100,100,79,NA,NA,NA,10,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","364703","Macklin Public School","Public","Not applicable","Elementary","English","JK-8","136 Ingleton Blvd","Toronto, City of","Scarborough","M1V2Y4","410",43.82169,-79.2674,70,100,15,15,5,0,59,55,67,80,78,71,NA,NA,NA,15,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","924520","Malvern Collegiate Institute","Public","Not applicable","Secondary","English","9-12","55 Malvern Ave","Toronto, City of","Toronto","M4E3E4","1140",43.68291,-79.2929,9,99,3,4,18,5,NA,NA,NA,NA,NA,NA,NA,NA,96,6,1,78
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","331635","Malvern Junior Public School","Public","Not applicable","Elementary","English","JK-6","70 Mammoth Hall Trail","Toronto, City of","Toronto","M1B1P6","335",43.79783,-79.2332,50,100,10,10,10,0,61,47,49,74,68,47,NA,NA,NA,15,10,NA
