"year","course_code","course_description","grade","pathway_or_destination","enrolment"
"2018-2019","TEG4T","Network Technologies","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TEI3M","Computer Engineering Technology: Interfacing","Grade 11","University/College Preparation (Grade 11 & 12 level)","50"
"2018-2019","TEI4M","Computer Engineering Technology: Interfacing","Grade 12","University/College Preparation (Grade 11 & 12 level)","40"
"2018-2019","TEJ1O","Exploring Computer Technology","Grade 9","Open (Grade 9 - 12 level)","2910"
"2018-2019","TEJ2O","Computer Technology","Grade 10","Open (Grade 9 - 12 level)","7000"
"2018-2019","TEJ3E","Computer Technology","Grade 11","Workplace Preparation (Grade 11 & 12 level)","255"
"2018-2019","TEJ3M","Computer Engineering Technology","Grade 11","University/College Preparation (Grade 11 & 12 level)","8150"
"2018-2019","TEJ4E","Computer Technology","Grade 12","Workplace Preparation (Grade 11 & 12 level)","60"
"2018-2019","TEJ4M","Computer Engineering Technology","Grade 12","University/College Preparation (Grade 11 & 12 level)","3415"
"2018-2019","TEL3M","Computer Engineering Technology: Electronics","Grade 11","University/College Preparation (Grade 11 & 12 level)","140"
"2018-2019","TEL4M","Computer Engineering Technology: Electronics","Grade 12","University/College Preparation (Grade 11 & 12 level)","55"
"2018-2019","TEN3M","Computer Engineering Technology: Networking","Grade 11","University/College Preparation (Grade 11 & 12 level)","155"
"2018-2019","TEN4M","Computer Engineering Technology: Networking","Grade 12","University/College Preparation (Grade 11 & 12 level)","85"
"2018-2019","TEQ4T","Électronique en prétechnologie","Grade 12","College Delivered (Dual Credits)","35"
"2018-2019","TER3M","Computer Engineering Technology: Robotics and Control Systems","Grade 11","University/College Preparation (Grade 11 & 12 level)","840"
"2018-2019","TER4M","Computer Engineering Technology: Robotics and Control Systems","Grade 12","University/College Preparation (Grade 11 & 12 level)","440"
"2018-2019","TES4T","Electronic Lab","Grade 12","College Delivered (Dual Credits)","45"
"2018-2019","TFB3E","Hospitality and Tourism: Baking","Grade 11","Workplace Preparation (Grade 11 & 12 level)","2190"
"2018-2019","TFB4E","Hospitality and Tourism: Baking","Grade 12","Workplace Preparation (Grade 11 & 12 level)","705"
"2018-2019","TFC3E","Hospitality and Tourism: Cooking","Grade 11","Workplace Preparation (Grade 11 & 12 level)","1465"
"2018-2019","TFC4E","Hospitality and Tourism: Cooking","Grade 12","Workplace Preparation (Grade 11 & 12 level)","555"
"2018-2019","TFE3E","Hospitality and Tourism: Event Planning","Grade 11","Workplace Preparation (Grade 11 & 12 level)","165"
"2018-2019","TFE4E","Hospitality and Tourism: Event Planning","Grade 12","Workplace Preparation (Grade 11 & 12 level)","65"
"2018-2019","TFF4T","International Culinary Appreciation","Grade 12","College Delivered (Dual Credits)","10"
"2018-2019","TFJ1O","Exploring Hospitality and Tourism","Grade 9","Open (Grade 9 - 12 level)","2440"
"2018-2019","TFJ2O","Hospitality and Tourism","Grade 10","Open (Grade 9 - 12 level)","14435"
"2018-2019","TFJ3C","Hospitality and Tourism","Grade 11","College Preparation (Grade 11 & 12 level)","8425"
"2018-2019","TFJ3E","Hospitality and Tourism","Grade 11","Workplace Preparation (Grade 11 & 12 level)","3575"
"2018-2019","TFJ4C","Hospitality and Tourism","Grade 12","College Preparation (Grade 11 & 12 level)","2620"
"2018-2019","TFJ4E","Hospitality and Tourism","Grade 12","Workplace Preparation (Grade 11 & 12 level)","1545"
"2018-2019","TFL4T","Dining Room","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TFN3C","Hospitality and Tourism: Applied Nutrition","Grade 11","College Preparation (Grade 11 & 12 level)","80"
"2018-2019","TFN4C","Hospitality and Tourism: Applied Nutrition","Grade 12","College Preparation (Grade 11 & 12 level)","20"
"2018-2019","TFO4T","Hospitality and Tourism","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TFQ4T","Exploring the Restaurant Industry","Grade 12","College Delivered (Dual Credits)","35"
"2018-2019","TFR3C","Hospitality and Tourism: Culinary Arts and Management","Grade 11","College Preparation (Grade 11 & 12 level)","615"
"2018-2019","TFR4C","Hospitality and Tourism: Culinary Arts and Management","Grade 12","College Preparation (Grade 11 & 12 level)","220"
"2018-2019","TFT3C","Hospitality and Tourism: Tourism and Travel Planning","Grade 11","College Preparation (Grade 11 & 12 level)","200"
"2018-2019","TFT4C","Hospitality and Tourism: Tourism and Travel Planning","Grade 12","College Preparation (Grade 11 & 12 level)","35"
"2018-2019","TFY4T","Professional Customer Service","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TGA4T","3D Introduction (Video Game Design and Development)","Grade 12","College Delivered (Dual Credits)","45"
"2018-2019","TGB4T","Graphic Design - Computer Imagery","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TGC4T","Digital Imaging","Grade 12","College Delivered (Dual Credits)","100"
"2018-2019","TGD4T","Theory and Practice of Film and Television","Grade 12","College Delivered (Dual Credits)","55"
"2018-2019","TGE4T","Radio Reporting","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TGF4T","Digital Audio Recording","Grade 12","College Delivered (Dual Credits)","10"
"2018-2019","TGG3M","Communications Technology: Print and Graphic Communications","Grade 11","University/College Preparation (Grade 11 & 12 level)","2280"
"2018-2019","TGG4M","Communications Technology: Print and Graphic Communications","Grade 12","University/College Preparation (Grade 11 & 12 level)","1725"
"2018-2019","TGH4T","Introduction to Animation","Grade 12","College Delivered (Dual Credits)","10"
"2018-2019","TGI3M","Communications Technology: Interactive New Media and Animation","Grade 11","University/College Preparation (Grade 11 & 12 level)","885"
"2018-2019","TGI4M","Communications Technology: Interactive New Media and Animation","Grade 12","University/College Preparation (Grade 11 & 12 level)","435"
"2018-2019","TGJ1O","Exploring Communications Technology","Grade 9","Open (Grade 9 - 12 level)","2905"
"2018-2019","TGJ2O","Communications Technology","Grade 10","Open (Grade 9 - 12 level)","14350"
"2018-2019","TGJ3M","Communications Technology","Grade 11","University/College Preparation (Grade 11 & 12 level)","13090"
"2018-2019","TGJ3O","Communications Technology: Broadcast and Print Production","Grade 11","Open (Grade 9 - 12 level)","1110"
"2018-2019","TGJ4M","Communications Technology","Grade 12","University/College Preparation (Grade 11 & 12 level)","6585"
"2018-2019","TGJ4O","Communications Technology: Digital Imagery and Web Design","Grade 12","Open (Grade 9 - 12 level)","835"
"2018-2019","TGO4T","TV Production","Grade 12","College Delivered (Dual Credits)","60"
"2018-2019","TGP3M","Communications Technology: Photography and Digital Imaging","Grade 11","University/College Preparation (Grade 11 & 12 level)","3245"
"2018-2019","TGP4M","Communications Technology: Photography and Digital Imaging","Grade 12","University/College Preparation (Grade 11 & 12 level)","1220"
"2018-2019","TGQ4T","Introduction to Studio Production","Grade 12","College Delivered (Dual Credits)","75"
"2018-2019","TGR3M","Communications Technology: Radio, Audio and Sound Production","Grade 11","University/College Preparation (Grade 11 & 12 level)","310"
"2018-2019","TGR4M","Communications Technology: Radio, Audio and Sound Production","Grade 12","University/College Preparation (Grade 11 & 12 level)","120"
"2018-2019","TGV3M","Communications Technology: TV, Video and Movie Production","Grade 11","University/College Preparation (Grade 11 & 12 level)","2405"
"2018-2019","TGV4M","Communications Technology: TV, Video and Movie Production","Grade 12","University/College Preparation (Grade 11 & 12 level)","1555"
"2018-2019","THA3M","Green Industries: Agribusiness","Grade 11","University/College Preparation (Grade 11 & 12 level)","45"
"2018-2019","THA4M","Green Industries: Agribusiness","Grade 12","University/College Preparation (Grade 11 & 12 level)","30"
"2018-2019","THB4T","Machinerie agricole et agriculture de précision","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","THD3M","Green Industries: Landscaping and Architecture","Grade 11","University/College Preparation (Grade 11 & 12 level)","75"
"2018-2019","THD4M","Green Industries: Landscaping and Architecture","Grade 12","University/College Preparation (Grade 11 & 12 level)","40"
"2018-2019","THF3E","Green Industries: Floristry","Grade 11","Workplace Preparation (Grade 11 & 12 level)","50"
"2018-2019","THF4E","Green Industries: Floristry","Grade 12","Workplace Preparation (Grade 11 & 12 level)","<10"
"2018-2019","THG3E","Green Industries: Agriculture","Grade 11","Workplace Preparation (Grade 11 & 12 level)","40"
"2018-2019","THG4E","Green Industries: Agriculture","Grade 12","Workplace Preparation (Grade 11 & 12 level)","20"
"2018-2019","THH3E","Green Industries: Horticulture","Grade 11","Workplace Preparation (Grade 11 & 12 level)","120"
"2018-2019","THH4E","Green Industries: Horticulture","Grade 12","Workplace Preparation (Grade 11 & 12 level)","35"
"2018-2019","THJ1O","Exploring Green Industries","Grade 9","Open (Grade 9 - 12 level)","295"
"2018-2019","THJ2O","Green Industries","Grade 10","Open (Grade 9 - 12 level)","1050"
"2018-2019","THJ3E","Green Industries","Grade 11","Workplace Preparation (Grade 11 & 12 level)","1005"
"2018-2019","THJ3M","Green Industries","Grade 11","University/College Preparation (Grade 11 & 12 level)","1075"
"2018-2019","THJ4E","Green Industries","Grade 12","Workplace Preparation (Grade 11 & 12 level)","255"
"2018-2019","THJ4M","Green Industries","Grade 12","University/College Preparation (Grade 11 & 12 level)","525"
"2018-2019","THK4T","Horticulture","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","THL3E","Green Industries: Landscaping Construction and Maintenance","Grade 11","Workplace Preparation (Grade 11 & 12 level)","120"
"2018-2019","THL4E","Green Industries: Landscaping Construction and Maintenance","Grade 12","Workplace Preparation (Grade 11 & 12 level)","45"
"2018-2019","THO3E","Green Industries: Forestry","Grade 11","Workplace Preparation (Grade 11 & 12 level)","<10"
"2018-2019","THO3M","Green Industries: Forestry","Grade 11","University/College Preparation (Grade 11 & 12 level)","40"
"2018-2019","THP4T","Renewable Energy Technologies","Grade 12","College Delivered (Dual Credits)","10"
"2018-2019","THS3M","Green Industries: Horticulture Management and Science","Grade 11","University/College Preparation (Grade 11 & 12 level)","40"
"2018-2019","THS4M","Green Industries: Horticulture Management and Science","Grade 12","University/College Preparation (Grade 11 & 12 level)","50"
"2018-2019","THT4T","Plant Propagation","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TIA4T","Trades","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TIB4T","Trades Exploration Lab","Grade 12","College Delivered (Dual Credits)","35"
"2018-2019","TIC4T","Introduction to Robotics","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TID4T","Exploring Surveying","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TIJ1O","Exploring Technologies","Grade 9","Open (Grade 9 - 12 level)","45690"
"2018-2019","TJB4T","Heritage Tourism","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TJE4T","The Flight Attendant","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TJF4T","Trends and Issues in Tourism","Grade 12","College Delivered (Dual Credits)","10"
"2018-2019","TJH4T","Foundations of Tourism","Grade 12","College Delivered (Dual Credits)","40"
"2018-2019","TJJ4T","Destinations d'Amérique du Nord","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TJK4T","The Canadian Experience","Grade 12","College Delivered (Dual Credits)","10"
"2018-2019","TKA4Y","Cook","Grade 12","Apprenticeship Program (Dual Credits)","75"
"2018-2019","TKB4T","Food Preparation","Grade 12","College Delivered (Dual Credits)","40"
"2018-2019","TKC4T","Preliminary Food Preparation","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TKD4T","Quantity Food and Dining Room Preparation","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TKJ4T","Culinary Techniques 1","Grade 12","College Delivered (Dual Credits)","25"
"2018-2019","TKK4T","Customer Service and Restaurant Operations","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TKL4T","Cuisine and Culture","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TKU4T","Quantity Food Production","Grade 12","College Delivered (Dual Credits)","25"
"2018-2019","TKY4T","Bonne bouffe, belle bouffe","Grade 12","College Delivered (Dual Credits)","45"
"2018-2019","TKZ4T","Démonstration pratique I","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TLA4T","Welding","Grade 12","College Delivered (Dual Credits)","205"
"2018-2019","TLA4Y","Welding","Grade 12","Apprenticeship Program (Dual Credits)","40"
"2018-2019","TLG4T","Shielded Metal Arc Welding","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TLH4T","Welding Fundamentals","Grade 12","College Delivered (Dual Credits)","90"
"2018-2019","TLI4T","Welding Techniques","Grade 12","College Delivered (Dual Credits)","85"
"2018-2019","TLJ4T","Welding and Cutting","Grade 12","College Delivered (Dual Credits)","45"
"2018-2019","TLL4T","Welding and Fabrication","Grade 12","College Delivered (Dual Credits)","95"
"2018-2019","TLO4T","Thermal Cutting and Brazing","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TLS4T","Introduction au Soudage","Grade 12","College Delivered (Dual Credits)","10"
"2018-2019","TLU4T","Welding II","Grade 12","College Delivered (Dual Credits)","35"
"2018-2019","TMB4T","CNC Manual Programming","Grade 12","College Delivered (Dual Credits)","10"
"2018-2019","TMC3C","Manufacturing Technology: Computer Aided Manufacturing","Grade 11","College Preparation (Grade 11 & 12 level)","10"
"2018-2019","TMC4C","Manufacturing Technology: Computer Aided Manufacturing","Grade 12","College Preparation (Grade 11 & 12 level)","10"
"2018-2019","TME4T","Manufacturing Safety","Grade 12","College Delivered (Dual Credits)","45"
"2018-2019","TMH4T","Equipment Operation and Maintenance","Grade 12","College Delivered (Dual Credits)","75"
"2018-2019","TMI3C","Manufacturing Technology: Industrial Maintenance","Grade 11","College Preparation (Grade 11 & 12 level)","35"
"2018-2019","TMI4C","Manufacturing Technology: Industrial Maintenance","Grade 12","College Preparation (Grade 11 & 12 level)","40"
"2018-2019","TMJ1O","Exploring Manufacturing Technology","Grade 9","Open (Grade 9 - 12 level)","640"
"2018-2019","TMJ2O","Manufacturing Technology","Grade 10","Open (Grade 9 - 12 level)","5840"
"2018-2019","TMJ3C","Manufacturing Technology","Grade 11","College Preparation (Grade 11 & 12 level)","4820"
"2018-2019","TMJ3E","Manufacturing Technology","Grade 11","Workplace Preparation (Grade 11 & 12 level)","1990"
"2018-2019","TMJ3M","Manufacturing Engineering Technology","Grade 11","University/College Preparation (Grade 11 & 12 level)","1285"
"2018-2019","TMJ4C","Manufacturing Technology","Grade 12","College Preparation (Grade 11 & 12 level)","2135"
"2018-2019","TMJ4E","Manufacturing Technology","Grade 12","Workplace Preparation (Grade 11 & 12 level)","850"
"2018-2019","TMJ4M","Manufacturing Engineering Technology","Grade 12","University/College Preparation (Grade 11 & 12 level)","580"
"2018-2019","TMM3M","Manufacturing Engineering Technology: Mechanical Engineering","Grade 11","University/College Preparation (Grade 11 & 12 level)","140"
"2018-2019","TMM4M","Manufacturing Engineering Technology: Mechanical Engineering","Grade 12","University/College Preparation (Grade 11 & 12 level)","80"
"2018-2019","TMO3E","Manufacturing Technology: Machine Operator","Grade 11","Workplace Preparation (Grade 11 & 12 level)","<10"
"2018-2019","TMO4E","Manufacturing Technology: Machine Operator","Grade 12","Workplace Preparation (Grade 11 & 12 level)","<10"
"2018-2019","TMP3C","Manufacturing Technology: Precision Machining","Grade 11","College Preparation (Grade 11 & 12 level)","135"
"2018-2019","TMP4C","Manufacturing Technology: Precision Machining","Grade 12","College Preparation (Grade 11 & 12 level)","55"
"2018-2019","TMR3M","Manufacturing Engineering Technology: Robotics and Control Systems","Grade 11","University/College Preparation (Grade 11 & 12 level)","245"
"2018-2019","TMR4M","Manufacturing Engineering Technology: Robotics and Control Systems","Grade 12","University/College Preparation (Grade 11 & 12 level)","135"
"2018-2019","TMS3E","Manufacturing Technology: Sheet Metal","Grade 11","Workplace Preparation (Grade 11 & 12 level)","15"
"2018-2019","TMW3E","Manufacturing Technology: Welding","Grade 11","Workplace Preparation (Grade 11 & 12 level)","880"
"2018-2019","TMW4E","Manufacturing Technology: Welding","Grade 12","Workplace Preparation (Grade 11 & 12 level)","480"
"2018-2019","TMY3C","Manufacturing Technology: Welding Technician","Grade 11","College Preparation (Grade 11 & 12 level)","380"
"2018-2019","TMY4C","Manufacturing Technology: Welding Technician","Grade 12","College Preparation (Grade 11 & 12 level)","185"
"2018-2019","TNA4Y","Electrician: Construction and Maintenance","Grade 12","Apprenticeship Program (Dual Credits)","165"
"2018-2019","TNC4T","Electrical Fundamentals","Grade 12","College Delivered (Dual Credits)","115"
"2018-2019","TND4T","Basic Electrical Installation","Grade 12","College Delivered (Dual Credits)","95"
"2018-2019","TNJ4T","Electrical Construction Skills Training","Grade 12","College Delivered (Dual Credits)","65"
"2018-2019","TNK4T","Electrical Installation","Grade 12","College Delivered (Dual Credits)","90"
"2018-2019","TNL4T","Electrician Trade Safety","Grade 12","College Delivered (Dual Credits)","65"
"2018-2019","TNM4T","Electrical and Fuel Systems","Grade 12","College Delivered (Dual Credits)","30"
"2018-2019","TNN4T","Electrical Techniques - Theory","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TNO4T","Electrical Techniques - Practical","Grade 12","College Delivered (Dual Credits)","55"
"2018-2019","TNP4T","Basic Electrical Wiring","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TOA4T","Gerontology","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TOB4T","Foundations of Play-Based Curriculum","Grade 12","College Delivered (Dual Credits)","120"
"2018-2019","TOC4C","Child Development and Gerontology: Child Development","Grade 12","College Preparation (Grade 11 & 12 level)","<10"
"2018-2019","TOD4T","Nurturing Infants and Toddlers","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TOE4T","Child and Youth Worker","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TOE4Y","Child and Youth Worker","Grade 12","Apprenticeship Program (Dual Credits)","35"
"2018-2019","TOF4T","Child Development","Grade 12","College Delivered (Dual Credits)","70"
"2018-2019","TOF4Y","Child Development","Grade 12","Apprenticeship Program (Dual Credits)","15"
"2018-2019","TOJ4C","Child Development and Gerontology","Grade 12","College Preparation (Grade 11 & 12 level)","1085"
"2018-2019","TOL4Y","Child Development Practitioner","Grade 12","Apprenticeship Program (Dual Credits)","35"
"2018-2019","TOL4Y","Child Development Practitioner","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TOQ4T","Early Childhood Education","Grade 12","College Delivered (Dual Credits)","145"
"2018-2019","TOR4T","Positive Child Guidance","Grade 12","College Delivered (Dual Credits)","60"
"2018-2019","TOS4T","Introduction Child and Youth Worker","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TOT4T","Child Development II","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TOU4T","Activity Programming","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TOZ4T","Relational Child and Youth Care","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TPJ1O","Exploring Health Care","Grade 9","Open (Grade 9 - 12 level)","95"
"2018-2019","TPJ2O","Health Care","Grade 10","Open (Grade 9 - 12 level)","1610"
"2018-2019","TPJ3C","Health Care","Grade 11","College Preparation (Grade 11 & 12 level)","1465"
"2018-2019","TPJ3M","Health Care","Grade 11","University/College Preparation (Grade 11 & 12 level)","5175"
"2018-2019","TPJ4C","Health Care","Grade 12","College Preparation (Grade 11 & 12 level)","430"
"2018-2019","TPJ4E","Health Care: Support Services","Grade 12","Workplace Preparation (Grade 11 & 12 level)","40"
"2018-2019","TPJ4M","Health Care","Grade 12","University/College Preparation (Grade 11 & 12 level)","2245"
"2018-2019","TPM3M","Health Care: Nursing/Medical Services","Grade 11","University/College Preparation (Grade 11 & 12 level)","<10"
"2018-2019","TPT3M","Health Care: Therapy Services","Grade 11","University/College Preparation (Grade 11 & 12 level)","25"
"2018-2019","TQE4T","Media Awareness","Grade 12","College Delivered (Dual Credits)","30"
"2018-2019","TQI4T","Editing and Media Design","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TQK4T","Contemporary Issues and the Media","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TQM4T","Media & Pop Culture","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TRB4Y","General Machinist","Grade 12","Apprenticeship Program (Dual Credits)","30"
"2018-2019","TRC4Y","Industrial Mechanic Millwright","Grade 12","Apprenticeship Program (Dual Credits)","15"
"2018-2019","TRG4T","HVAC - Sheet Metal Fabrication","Grade 12","College Delivered (Dual Credits)","75"
"2018-2019","TRQ4T","Industrial Trades","Grade 12","College Delivered (Dual Credits)","65"
"2018-2019","TRR4T","Industrial Millwright Mechanic Principles and Practice","Grade 12","College Delivered (Dual Credits)","50"
"2018-2019","TRT4T","Industrial/Mechanical/Millwright Safety Awareness Training","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TSA4T","Carpentry","Grade 12","College Delivered (Dual Credits)","40"
"2018-2019","TSA4Y","Carpentry","Grade 12","Apprenticeship Program (Dual Credits)","40"
"2018-2019","TSB4T","Plumbing","Grade 12","College Delivered (Dual Credits)","55"
"2018-2019","TSB4Y","Plumbing","Grade 12","Apprenticeship Program (Dual Credits)","65"
"2018-2019","TSC4T","Introduction to Residential Construction","Grade 12","College Delivered (Dual Credits)","90"
"2018-2019","TSD4T","Masonry","Grade 12","College Delivered (Dual Credits)","60"
"2018-2019","TSE4T","Carpentry Fundamentals","Grade 12","College Delivered (Dual Credits)","45"
"2018-2019","TSF4T","Construction Tools & Safety 1","Grade 12","College Delivered (Dual Credits)","50"
"2018-2019","TSK4T","Construction Basics","Grade 12","College Delivered (Dual Credits)","70"
"2018-2019","TSL4T","Introduction to Construction Trades","Grade 12","College Delivered (Dual Credits)","130"
"2018-2019","TSM4T","Plumbing Practical","Grade 12","College Delivered (Dual Credits)","140"
"2018-2019","TSN4T","Home Renovation - Safety","Grade 12","College Delivered (Dual Credits)","25"
"2018-2019","TSP4T","Home Renovation Trade Skills","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TSQ4T","Building Construction Techniques","Grade 12","College Delivered (Dual Credits)","65"
"2018-2019","TSR4T","Tools and Equipment II","Grade 12","College Delivered (Dual Credits)","20"
"2018-2019","TSV4T","Building Construction Codes and Standards","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TSX4T","Construction Health, Safety Awareness","Grade 12","College Delivered (Dual Credits)","75"
"2018-2019","TSZ4Y","Brick and Stone Mason","Grade 12","Apprenticeship Program (Dual Credits)","10"
"2018-2019","TTA3C","Transportation Technology: Auto Service","Grade 11","College Preparation (Grade 11 & 12 level)","1675"
"2018-2019","TTA4C","Transportation Technology: Auto Service","Grade 12","College Preparation (Grade 11 & 12 level)","895"
"2018-2019","TTB3C","Transportation Technology: Auto Body","Grade 11","College Preparation (Grade 11 & 12 level)","455"
"2018-2019","TTB4C","Transportation Technology: Auto Body","Grade 12","College Preparation (Grade 11 & 12 level)","175"
"2018-2019","TTD4T","Truck and Coach Technician","Grade 12","College Delivered (Dual Credits)","55"
"2018-2019","TTD4Y","Truck and Coach Technician","Grade 12","Apprenticeship Program (Dual Credits)","25"
"2018-2019","TTE4T","Automotive Service Technician","Grade 12","College Delivered (Dual Credits)","75"
"2018-2019","TTE4Y","Automotive Service Technician","Grade 12","Apprenticeship Program (Dual Credits)","180"
"2018-2019","TTF4T","Auto Body and Collision Damage Repairer","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TTF4Y","Auto Body and Collision Damage Repairer","Grade 12","Apprenticeship Program (Dual Credits)","<10"
"2018-2019","TTG4T","Engine Function and Design","Grade 12","College Delivered (Dual Credits)","35"
"2018-2019","TTH3C","Transportation Technology: Heavy Duty and Agricultural Equipment","Grade 11","College Preparation (Grade 11 & 12 level)","85"
"2018-2019","TTH4C","Transportation Technology: Heavy Duty and Agricultural Equipment","Grade 12","College Preparation (Grade 11 & 12 level)","65"
"2018-2019","TTJ1O","Exploring Transportation Technology","Grade 9","Open (Grade 9 - 12 level)","900"
"2018-2019","TTJ2O","Transportation Technology","Grade 10","Open (Grade 9 - 12 level)","14890"
"2018-2019","TTJ3C","Transportation Technology","Grade 11","College Preparation (Grade 11 & 12 level)","14430"
"2018-2019","TTJ3E","Transportation Technology","Grade 11","Workplace Preparation (Grade 11 & 12 level)","10"
"2018-2019","TTJ3O","Transportation Technology: Vehicle Ownership","Grade 11","Open (Grade 9 - 12 level)","1990"
"2018-2019","TTJ4C","Transportation Technology","Grade 12","College Preparation (Grade 11 & 12 level)","6130"
"2018-2019","TTJ4E","Transportation Technology: Vehicle Maintenance","Grade 12","Workplace Preparation (Grade 11 & 12 level)","1225"
"2018-2019","TTL3C","Transportation Technology: Light Aircraft","Grade 11","College Preparation (Grade 11 & 12 level)","120"
"2018-2019","TTL4C","Transportation Technology: Light Aircraft","Grade 12","College Preparation (Grade 11 & 12 level)","30"
"2018-2019","TTM4T","Automotive Basic Skills","Grade 12","College Delivered (Dual Credits)","55"
"2018-2019","TTO4T","Heavy Duty Equipment Technician","Grade 12","College Delivered (Dual Credits)","55"
"2018-2019","TTO4Y","Heavy Duty Equipment Technician","Grade 12","Apprenticeship Program (Dual Credits)","15"
"2018-2019","TTP4T","Technical Practices","Grade 12","College Delivered (Dual Credits)","30"
"2018-2019","TTS3C","Transportation Technology: Small Engine and Recreational Equipment","Grade 11","College Preparation (Grade 11 & 12 level)","770"
"2018-2019","TTS4C","Transportation Technology: Small Engine and Recreational Equipment","Grade 12","College Preparation (Grade 11 & 12 level)","185"
"2018-2019","TTT3C","Transportation Technology: Truck and Coach","Grade 11","College Preparation (Grade 11 & 12 level)","45"
"2018-2019","TTT4C","Transportation Technology: Truck and Coach","Grade 12","College Preparation (Grade 11 & 12 level)","45"
"2018-2019","TTW4T","Aeronautics","Grade 12","College Delivered (Dual Credits)","50"
"2018-2019","TTX4T","Drive Train Standard Transmission","Grade 12","College Delivered (Dual Credits)","30"
"2018-2019","TUA4T","Baking Techniques - Basic","Grade 12","College Delivered (Dual Credits)","30"
"2018-2019","TUD4Y","Baker","Grade 12","Apprenticeship Program (Dual Credits)","10"
"2018-2019","TUE4T","Baking and Pastry","Grade 12","College Delivered (Dual Credits)","290"
"2018-2019","TUF4T","Baking Techniques","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TUI4T","Culinary Techniques","Grade 12","College Delivered (Dual Credits)","150"
"2018-2019","TUS4T","Culinary Essentials","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TUV4T","Techniques culinaires-application","Grade 12","College Delivered (Dual Credits)","75"
"2018-2019","TVA4T","Kitchen Management One Chef","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TVC4T","Basic Kitchen Production","Grade 12","College Delivered (Dual Credits)","55"
"2018-2019","TVD4T","Kitchen Production","Grade 12","College Delivered (Dual Credits)","60"
"2018-2019","TWB4T","Exploring Cabinet Construction","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TWJ3E","Custom Woodworking","Grade 11","Workplace Preparation (Grade 11 & 12 level)","5315"
"2018-2019","TWJ4E","Custom Woodworking","Grade 12","Workplace Preparation (Grade 11 & 12 level)","1745"
"2018-2019","TWM4T","Woodworking Materials","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TXA3E","Hairstyling and Aesthetics: Aesthetics","Grade 11","Workplace Preparation (Grade 11 & 12 level)","295"
"2018-2019","TXA4E","Hairstyling and Aesthetics: Aesthetics","Grade 12","Workplace Preparation (Grade 11 & 12 level)","130"
"2018-2019","TXC4T","Make-up Artistry and Applications","Grade 12","College Delivered (Dual Credits)","155"
"2018-2019","TXD4T","Body Treatments","Grade 12","College Delivered (Dual Credits)","15"
"2018-2019","TXE4T","Hairstyling and Cutting Techniques","Grade 12","College Delivered (Dual Credits)","100"
"2018-2019","TXF4T","Chemical Services","Grade 12","College Delivered (Dual Credits)","<10"
"2018-2019","TXF4Y","Hairstylist","Grade 12","Apprenticeship Program (Dual Credits)","25"
