"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2018-2019","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",375,390,420,465,1650
"2018-2019","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1595,1410,1390,1305,5700
"2018-2019","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",440,445,395,410,1695
"2018-2019","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",525,485,460,480,1950
"2018-2019","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",955,895,1065,970,3885
"2018-2019","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2855,2845,2730,3720,12150
"2018-2019","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",560,575,520,805,2460
"2018-2019","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7670,7470,7540,8730,31405
"2018-2019","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1605,1640,1525,1705,6475
"2018-2019","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5085,5165,5050,6015,21315
"2018-2019","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1775,1910,1855,2970,8515
"2018-2019","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2885,2760,2655,3520,11820
"2018-2019","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",3300,3185,2905,3410,12800
"2018-2019","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4525,4590,4580,5980,19675
"2018-2019","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2450,2395,2405,3640,10890
"2018-2019","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3165,3290,3160,4530,14145
"2018-2019","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1145,1110,1190,1265,4710
"2018-2019","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",345,320,290,425,1375
"2018-2019","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",280,245,210,345,1080
"2018-2019","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",45,30,30,55,165
"2018-2019","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2210,2145,2195,3040,9595
"2018-2019","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",400,445,435,695,1975
"2018-2019","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",100,80,100,120,395
"2018-2019","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",600,655,610,785,2650
"2018-2019","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1665,1595,1660,2450,7365
"2018-2019","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1360,1405,1460,2325,6550
"2018-2019","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1640,1640,1630,2070,6980
"2018-2019","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",745,745,765,990,3245
"2018-2019","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1550,1560,1585,2120,6810
"2018-2019","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",205,210,195,225,830
"2018-2019","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",95,100,90,145,430
"2018-2019","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",3245,3480,3285,3925,13930
"2018-2019","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5430,5695,5690,8370,25180
"2018-2019","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10060,10015,9780,12640,42490
"2018-2019","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1160,1165,1095,1290,4710
"2018-2019","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",980,985,945,1625,4535
"2018-2019","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",240,210,220,255,920
"2018-2019","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",275,265,275,315,1130
"2018-2019","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",705,705,705,1065,3175
"2018-2019","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3690,3820,3595,4595,15695
"2018-2019","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1720,1730,1680,1845,6970
"2018-2019","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",630,665,590,710,2595
"2018-2019","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",405,415,455,540,1815
"2018-2019","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",170,160,155,190,675
"2018-2019","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5460,5385,5325,7720,23890
"2018-2019","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",510,535,540,610,2195
"2018-2019","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6585,6785,6910,8920,29200
"2018-2019","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16345,16460,16935,23170,72910
"2018-2019","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1320,1320,1245,1800,5685
"2018-2019","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1940,2010,2015,3215,9175
"2018-2019","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2575,2640,2555,3740,11515
"2018-2019","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1650,1650,1650,2000,6955
"2018-2019","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4725,4665,4480,6440,20310
"2018-2019","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",520,545,560,790,2420
"2018-2019","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1745,1765,1885,1960,7355
"2018-2019","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4325,4260,4560,4890,18035
"2018-2019","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",9670,9760,10005,11550,40985
"2018-2019","N/A","Provincial Total",NA,146805,147265,146775,190610,631455
"2019-2020","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",760,760,720,1020,3260
"2019-2020","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",870,835,990,1235,3930
"2019-2020","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1130,1160,1235,1685,5210
"2019-2020","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1080,1035,990,1365,4470
"2019-2020","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",865,925,840,1070,3705
"2019-2020","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",375,405,390,490,1660
"2019-2020","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",980,930,1000,1030,3940
"2019-2020","B66311","CEP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1050,1020,910,1040,4020
"2019-2020","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",620,570,515,490,2195
"2019-2020","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1080,875,835,765,3555
"2019-2020","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",155,160,165,180,660
"2019-2020","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",90,80,95,115,380
"2019-2020","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",180,195,160,235,770
"2019-2020","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",675,655,635,660,2625
"2019-2020","B29130","CSDC des Aurores boreales","Cath Dist Sch Brd (E/F)",40,30,35,30,135
"2019-2020","B29106","CSDC des Grandes Rivieres","Cath Dist Sch Brd (E/F)",375,360,380,515,1630
"2019-2020","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1615,1585,1425,1410,6030
"2019-2020","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",400,440,425,395,1660
"2019-2020","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",545,510,470,510,2035
"2019-2020","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2755,2900,2855,3545,12055
"2019-2020","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",540,560,560,720,2385
"2019-2020","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7400,7765,7440,8270,30870
"2019-2020","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1650,1625,1670,1645,6590
"2019-2020","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5245,5145,5220,5745,21360
"2019-2020","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1795,1825,1920,2695,8235
"2019-2020","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2935,2735,2825,3320,11815
"2019-2020","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",3310,3330,3210,3420,13270
"2019-2020","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4615,4675,4705,6080,20075
"2019-2020","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2435,2495,2405,3715,11050
"2019-2020","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3210,3200,3325,4200,13935
"2019-2020","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1065,1175,1095,1280,4610
"2019-2020","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",330,345,310,365,1350
"2019-2020","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",265,205,240,290,1000
"2019-2020","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",40,40,35,65,180
"2019-2020","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2205,2185,2160,2960,9510
"2019-2020","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",435,405,440,615,1890
"2019-2020","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",90,90,75,110,365
"2019-2020","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",640,605,630,710,2585
"2019-2020","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1595,1730,1605,2205,7140
"2019-2020","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1365,1395,1435,2255,6445
"2019-2020","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1780,1695,1705,2085,7265
"2019-2020","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",735,775,750,905,3170
"2019-2020","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1535,1550,1560,1995,6640
"2019-2020","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",230,205,205,230,865
"2019-2020","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",90,80,100,130,400
"2019-2020","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",3330,3495,3470,3935,14230
"2019-2020","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5295,5660,5790,8135,24880
"2019-2020","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10395,10090,10060,12125,42670
"2019-2020","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1140,1145,1150,1205,4645
"2019-2020","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",990,1005,1015,1475,4490
"2019-2020","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",240,240,200,245,925
"2019-2020","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",280,270,265,335,1145
"2019-2020","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",650,715,745,960,3070
"2019-2020","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3775,3810,3840,4345,15765
"2019-2020","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1725,1710,1690,1875,7000
"2019-2020","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",630,625,650,750,2660
"2019-2020","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",475,390,415,540,1815
"2019-2020","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",160,160,150,200,670
"2019-2020","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5360,5540,5450,7605,23955
"2019-2020","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",570,515,530,630,2245
"2019-2020","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6570,6685,6815,8445,28515
"2019-2020","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16450,16765,16755,22560,72535
"2019-2020","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1300,1330,1305,1695,5630
"2019-2020","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1910,2045,2110,2900,8965
"2019-2020","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2580,2620,2680,3495,11375
"2019-2020","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1715,1685,1695,2115,7215
"2019-2020","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4730,4780,4685,6130,20325
"2019-2020","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",540,525,560,745,2370
"2019-2020","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1910,1755,1725,2245,7640
"2019-2020","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4540,4430,4310,4825,18100
"2019-2020","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",9515,10050,10045,11565,41170
"2019-2020","N/A","Provincial Total",NA,147945,149310,148775,184880,630915
"2020-2021","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",840,770,750,935,3295
"2020-2021","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",860,850,1025,1165,3900
"2020-2021","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1090,1120,1125,1560,4895
"2020-2021","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1085,1090,1015,1320,4510
"2020-2021","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",960,870,910,1065,3805
"2020-2021","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",325,370,400,515,1610
"2020-2021","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",970,990,915,1060,3935
"2020-2021","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",665,600,555,550,2365
"2020-2021","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1050,1050,855,855,3810
"2020-2021","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",190,145,160,210,710
"2020-2021","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",100,90,80,120,390
"2020-2021","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",200,175,190,175,745
"2020-2021","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",690,665,640,655,2645
"2020-2021","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",40,40,30,30,135
"2020-2021","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",395,370,355,480,1605
"2020-2021","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1730,1620,1560,1450,6355
"2020-2021","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",425,395,430,425,1675
"2020-2021","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",500,540,500,500,2040
"2020-2021","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1075,1065,945,1025,4115
"2020-2021","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2910,2775,2930,3600,12215
"2020-2021","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",590,555,560,765,2470
"2020-2021","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7360,7475,7750,8120,30700
"2020-2021","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1515,1655,1605,1720,6495
"2020-2021","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5390,5300,5235,5870,21790
"2020-2021","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1765,1795,1820,2710,8090
"2020-2021","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2755,2790,2740,3330,11615
"2020-2021","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",3145,3325,3295,3620,13385
"2020-2021","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4865,4630,4760,5880,20135
"2020-2021","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2395,2505,2505,3500,10905
"2020-2021","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3275,3155,3210,4220,13860
"2020-2021","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1070,1070,1130,1165,4435
"2020-2021","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",370,325,345,365,1410
"2020-2021","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",220,190,190,310,915
"2020-2021","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",60,50,45,55,210
"2020-2021","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2265,2200,2170,2725,9355
"2020-2021","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",420,435,410,580,1845
"2020-2021","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",90,85,85,75,335
"2020-2021","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",560,635,595,755,2550
"2020-2021","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1630,1630,1700,2120,7085
"2020-2021","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1400,1370,1385,2135,6290
"2020-2021","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1900,1815,1725,2135,7580
"2020-2021","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",685,725,750,915,3075
"2020-2021","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1470,1545,1555,1945,6515
"2020-2021","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",205,220,210,245,880
"2020-2021","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",90,85,75,130,380
"2020-2021","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",3370,3645,3475,4200,14695
"2020-2021","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5410,5400,5670,8075,24560
"2020-2021","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10420,10355,10130,12195,43105
"2020-2021","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1150,1120,1140,1235,4645
"2020-2021","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1015,1005,980,1515,4515
"2020-2021","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",245,240,230,225,940
"2020-2021","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",270,265,260,335,1135
"2020-2021","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",700,660,715,980,3050
"2020-2021","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3810,3820,3815,4515,15960
"2020-2021","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1755,1730,1700,1825,7015
"2020-2021","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",635,625,610,780,2650
"2020-2021","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",490,455,405,500,1845
"2020-2021","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",170,160,160,205,700
"2020-2021","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5625,5370,5560,7535,24085
"2020-2021","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",525,540,495,605,2165
"2020-2021","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6430,6525,6615,8315,27885
"2020-2021","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16475,16630,16840,22595,72545
"2020-2021","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1270,1355,1320,1705,5650
"2020-2021","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2015,1925,2035,2720,8695
"2020-2021","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2695,2585,2620,3365,11270
"2020-2021","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1810,1760,1710,2140,7415
"2020-2021","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4845,4755,4825,6145,20570
"2020-2021","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",530,560,540,755,2390
"2020-2021","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1855,1900,1710,2265,7730
"2020-2021","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4710,4595,4450,4480,18235
"2020-2021","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",9450,9665,10165,11445,40725
"2020-2021","N/A","Provincial Total",NA,149295,148790,149390,183745,631220
"2021-2022","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",905,850,770,1000,3525
"2021-2022","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",860,885,990,1200,3935
"2021-2022","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1165,1105,1160,1465,4895
"2021-2022","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1140,1085,1105,1395,4725
"2021-2022","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",950,975,890,1130,3945
"2021-2022","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",405,340,390,565,1700
"2021-2022","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",985,965,985,1040,3970
"2021-2022","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",680,645,565,565,2455
"2021-2022","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1090,985,1010,870,3955
"2021-2022","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",190,180,145,200,710
"2021-2022","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",100,95,85,100,380
"2021-2022","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",195,195,170,205,765
"2021-2022","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",750,670,635,675,2735
"2021-2022","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",35,40,35,25,135
"2021-2022","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",400,395,360,460,1620
"2021-2022","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1755,1685,1570,1590,6600
"2021-2022","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",405,405,380,420,1610
"2021-2022","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",480,485,520,535,2020
"2021-2022","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1120,1110,1100,1035,4365
"2021-2022","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",3050,2955,2805,3730,12540
"2021-2022","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",615,605,570,765,2560
"2021-2022","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7180,7325,7355,8365,30225
"2021-2022","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1685,1510,1620,1690,6505
"2021-2022","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5460,5425,5305,5895,22090
"2021-2022","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1815,1795,1820,2730,8160
"2021-2022","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2960,2640,2775,3285,11665
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",3270,3170,3260,3715,13410
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",5185,4975,4740,5825,20725
"2021-2022","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2415,2420,2570,3510,10910
"2021-2022","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3435,3280,3170,4410,14290
"2021-2022","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1180,1120,1090,1280,4675
"2021-2022","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",325,370,320,420,1435
"2021-2022","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",255,170,190,245,860
"2021-2022","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",45,55,45,65,210
"2021-2022","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2475,2340,2265,2840,9920
"2021-2022","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",445,410,455,590,1895
"2021-2022","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",105,90,80,90,370
"2021-2022","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",610,580,660,760,2610
"2021-2022","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1705,1655,1660,2195,7215
"2021-2022","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1525,1450,1410,2125,6515
"2021-2022","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",2035,1925,1890,2160,8015
"2021-2022","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",720,715,755,960,3150
"2021-2022","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1450,1505,1585,1950,6495
"2021-2022","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",250,205,230,245,930
"2021-2022","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",75,85,75,110,345
"2021-2022","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",3460,3615,3585,4215,14870
"2021-2022","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5440,5615,5625,8140,24820
"2021-2022","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10025,10275,10245,12055,42600
"2021-2022","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1075,1160,1130,1225,4590
"2021-2022","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1005,1030,1015,1515,4565
"2021-2022","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",215,225,220,265,925
"2021-2022","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",305,270,270,325,1165
"2021-2022","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",695,710,655,970,3035
"2021-2022","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",4175,3980,3890,4575,16620
"2021-2022","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1590,1685,1700,1810,6785
"2021-2022","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",585,630,615,735,2570
"2021-2022","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",520,470,470,485,1945
"2021-2022","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",170,160,155,185,675
