"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2012-2013","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",2049,2159,2268,3514,9990
"2012-2013","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2915,2753,2908,3975,12551
"2012-2013","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2410,2353,2353,3170,10286
"2012-2013","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4064,4147,4239,6425,18875
"2012-2013","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2298,2349,2301,4234,11182
"2012-2013","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3617,3651,3800,5904,16972
"2012-2013","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1189,1276,1318,1962,5745
"2012-2013","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",328,300,306,485,1419
"2012-2013","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",360,348,298,481,1487
"2012-2013","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",48,69,53,34,204
"2012-2013","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2506,2484,2753,4539,12282
"2012-2013","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",462,482,558,826,2328
"2012-2013","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",113,103,88,117,421
"2012-2013","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",795,736,897,1193,3621
"2012-2013","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1869,1937,1937,2853,8596
"2012-2013","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1491,1469,1671,3247,7878
"2012-2013","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1548,1692,1800,2583,7623
"2012-2013","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",843,872,884,1322,3921
"2012-2013","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1843,1762,1832,2538,7975
"2012-2013","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",229,171,191,312,903
"2012-2013","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",105,88,108,160,461
"2012-2013","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",3140,3472,3576,4511,14699
"2012-2013","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5348,5422,5615,8359,24744
"2012-2013","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",11803,11523,11871,9967,45164
"2012-2013","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1150,1147,1193,1457,4947
"2012-2013","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1070,1217,1206,1956,5449
"2012-2013","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",267,265,256,422,1210
"2012-2013","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",260,231,255,365,1111
"2012-2013","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",798,814,943,1312,3867
"2012-2013","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3775,3852,3997,5772,17396
"2012-2013","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1694,1756,1906,2371,7727
"2012-2013","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",610,631,648,927,2816
"2012-2013","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",542,538,494,596,2170
"2012-2013","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",209,215,174,284,882
