"year","month","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa04","moa512","moa1318","moa19"
2017,6,254220.666666667,156336.164479102,73548.6571863026,24335.8450012626,156336.164479102,41533.4824884995,56351.0196990657,42825.058452181,180938.907268645,30456.7009458406,117556.439170866,136664.227495801,43574.4655753544,55646.6188696025,26307.7486605623,128691.833561148
2017,9,250926.083333333,153279.114111762,73742.8672290932,23904.1019924778,153279.114111762,40924.1826694058,56722.7865521652,40915.8092209453,179531.968397397,30478.3057149909,114760.204512622,136165.878820712,39368.8146178767,57120.5253540367,26293.6748468795,128143.06851454
2017,12,247298.083333333,151048.833752143,72271.7484344899,23977.5011467,151048.833752143,39824.6400050102,56424.6095761797,39249.8082089605,177599.989825419,30448.2852989535,114209.340287275,133088.743046059,37886.5459166896,55517.8621529028,26588.8499615415,127304.8253022
2018,3,248001.166666667,152452.43326947,71548.51921186,24000.2141853369,152452.43326947,39320.0787957051,56228.6546014919,39094.0171236297,178518.59995794,30388.549585097,116038.712174474,131962.454492192,37076.2073839938,54039.2054441692,29656.9888962974,127228.764942206
2018,6,248946.5,151688.532743173,73125.7720143891,24132.1952424377,151688.532743173,39661.6661826877,57596.3010741392,39338.3970826785,179307.640316779,30300.462600543,114557.571909749,134388.928090251,38456.468761294,51773.272560704,29920.6998714059,128796.058806596
2018,9,244002.833333333,147715.84650602,72643.4475144957,23643.5393128177,147715.84650602,38774.2318757562,57512.7549515571,37133.6426669184,176934.457635724,29934.7330306905,111285.762197965,132717.071135368,35263.7688143438,50790.212954143,27425.1654917088,130523.686073138
2018,12,239356.916666667,145768.451314013,70477.9255754737,23110.5397771795,145768.451314013,37538.9099590693,56049.5553935839,35359.4611589,174114.907271215,29882.5482365516,110104.076885474,129252.839781192,34806.2164634725,48237.0696945156,26305.3183308892,130008.312177789
2019,3,240912.583333333,148380.140696052,69550.9326510916,22981.50998619,148380.140696052,37108.9122649903,55423.5303722913,35463.5605725005,175151.929342408,30297.0934184252,112293.420189095,128619.163144239,35096.995905173,49261.0546507062,25912.9799971887,130641.552780265
2019,6,243118.75,148660.105795441,71397.5560574807,23061.088147078,148660.105795441,37884.8020924394,56573.8421121193,35676.7921545365,176855.419042318,30586.5388031453,111190.941420094,131927.808579906,35528.1257670627,48991.8563509562,25776.8670844512,132821.90079753
2019,9,238840.916666667,145491.103321545,70742.2940523882,22607.5192927338,145491.103321545,37237.6402516882,56112.1730934338,33658.7102320013,174691.609072214,30490.5973624512,108756.504478187,130084.412188479,33858.8787923996,48397.8234960941,24988.581958833,131595.63241934
2019,12,235500.5,144902.485773145,68762.5165408343,21835.4976860203,144902.485773145,36105.7758624529,54492.2383644017,32506.7370192201,172445.465343756,30548.2976370237,108480.967942807,127019.532057192,35467.9980668582,45589.5736420124,24346.7477561747,130096.180534955
2020,3,244870.583333333,152673.649148711,69476.7996146642,22720.1345699578,152673.649148711,36891.5501496152,55305.3840350067,33847.1882600155,179198.450641585,31824.944431733,114562.05028861,130308.533044723,40020.7394602875,48198.7312029379,24846.0563573288,131805.056312779
2020,6,235207.833333333,145979.486250883,67633.2081550076,21595.1389274425,145979.486250883,35427.8682710402,53800.4788114099,31843.1990717394,172449.355415969,30915.2788456246,109689.827815092,125518.005518242,21395.6990598386,51984.5263327011,25967.0707620216,135860.537178772
2020,9,212835.583333333,129376.939842754,64109.5703063918,19349.0731841872,129376.939842754,32856.3790594518,50602.2644311271,27311.1856644963,156216.351345175,29308.0463236619,96539.5584005673,116296.024932766,11546.3296042659,42966.2777138635,24977.6450104715,133345.331004732
2020,12,200833.583333333,121715.751767546,61481.763435548,17636.068130239,121715.751767546,31215.544257165,47902.2873086219,25292.0520989229,146996.162198836,28545.369035574,90106.5074777092,110727.075855624,16245.4180148325,27932.5939847214,24959.7354046781,131695.835929101
2021,3,196013.416666667,119769.623223186,59589.9168615895,16653.876581891,119769.623223186,30228.5648944446,46015.2285490359,24492.676704967,142864.59411126,28656.1458504397,87872.2822928146,108141.134373852,16906.9460441921,20676.5162776313,25569.5455048006,132860.408840043
2021,6,186423.066810257,113868.702908515,57408.4243469808,15145.9395547614,113868.702908515,28902.537969775,43651.8259319671,23246.5407955195,135489.396400803,27687.1296139346,82464.2903214389,103958.776488819,15422.7472169554,21126.4698502098,17578.8773979532,132294.972345139
2021,9,178872.333333333,108866.535696695,56001.0291800432,14004.7684565949,108866.535696695,27782.3866593084,42223.4109773297,21393.5204064476,130076.425290426,27402.38763646,78258.5697110677,100613.763622266,16314.4831876507,21772.4579795115,10341.705250311,130443.68691586
2021,12,193886.583333333,121050.98883647,58155.102125086,14680.4923717771,121050.98883647,29604.8327149269,43230.7617819362,22331.6183306928,141393.821114928,30161.1438877123,86897.494179357,106989.089153976,38571.2598527621,20907.588402633,10684.9747456049,123722.760332333
2022,3,206267,131518.037092563,59313.4377524171,15435.5251550198,131518.037092563,30463.9942122547,44284.9686951821,24223.5192040958,150552.90583058,31490.5749653245,95042.8656223228,111224.134377677,41702.7394443764,32857.9468700281,12377.8712111941,119328.442474401
2022,6,212360.833333333,135256.486476784,61073.3642611088,16030.9825954408,135256.486476784,31485.7120939775,45618.6347625721,25224.7432272504,155300.209615629,31835.8804904538,97562.3833533879,114798.449979945,36613.1027883277,47995.153008928,11389.4111178235,116363.166418254
2022,9,216828.833333333,138370.720142122,61814.8451172403,16643.2680739709,138370.720142122,31833.8030712763,46624.3101199348,25327.0326749946,159387.97802301,32113.8226353292,100524.918084733,116303.915248601,36565.712621719,55378.6059645358,11632.3916646033,113252.123082475
2022,12,219754.5,141571.283968427,60933.0928365691,17250.1231950042,141571.283968427,31660.8586292336,46522.3574023397,25209.0450452177,162152.63249256,32392.8224622227,103841.971230297,115912.528769703,36834.1051726038,50446.5260954581,24303.3056259795,108170.563105959
2023,3,232088.833333333,152107.764126888,61331.5236320208,18649.5455744246,152107.764126888,32336.1681104939,47644.9010959515,27782.7098457706,171273.865261894,33032.2582256683,112942.983483823,119145.84984951,43347.6207921673,51544.2656325395,31560.284859945,105636.662048681
2023,6,236257.5,155041.655969191,61924.3132220796,19291.5308087291,155041.655969191,32713.6424903723,48502.2015404365,28597.8080872914,174519.983953787,33139.7079589217,114769.024390244,121488.475609756,40745.9210526316,54787.1919127086,28124.5186136072,112599.868421053
