"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa035","moa3659","moa60"
2005,3,"537","537 - Hamilton",13986,10836,1198,1952,10836,1912,1238,912,9478,3596,7349,6637,3054,1689,9243
2005,3,"539","539 - St. Catharines--Niagara",8774,6696,753,1325,6696,1241,837,595,5968,2211,4526,4248,1881,1117,5776
2005,3,"541","541 - Kitchener--Cambridge--Waterloo",6003,4788,430,785,4788,793,422,596,3905,1502,3073,2930,1604,822,3577
2005,3,"543","543 - Brantford",3398,2485,364,549,2485,546,367,280,2286,832,1728,1670,752,461,2185
2005,3,"550","550 - Guelph",1805,1456,149,200,1456,215,134,172,1237,396,912,893,456,199,1150
2005,3,"555","555 - London",9057,6989,723,1345,6989,1297,771,589,6279,2189,4640,4417,2121,1149,5787
2005,3,"559","559 - Windsor",5990,4654,464,872,4654,815,521,395,3849,1746,3034,2956,1419,729,3842
2005,3,"568","568 - Barrie",2232,1762,211,259,1762,292,178,243,1508,481,1101,1131,545,312,1375
2005,3,"580","580 - Greater Sudbury",4443,3441,376,626,3441,632,370,315,3231,897,2312,2130,866,633,2944
2005,3,"595","595 - Thunder Bay",3520,2817,328,375,2817,449,254,239,2574,707,1820,1700,760,450,2310
2005,6,"505","505 - Ottawa--Gatineau",15769,12374,1393,2002,12374,1989,1406,1043,10382,4344,8203,7566,3664,2026,10079
2005,6,"521","521 - Kingston",4106,3102,370,634,3102,592,412,303,2924,879,2136,1970,840,466,2800
2005,6,"529","529 - Peterborough",2565,2025,173,367,2025,330,210,232,1749,584,1327,1238,564,323,1678
2005,6,"532","532 - Oshawa",4540,3669,401,470,3669,555,316,420,3117,1003,2250,2290,1163,638,2739
2005,6,"535","535 - Toronto",65009,52145,4354,8510,52145,8270,4594,4229,38511,22269,33879,31130,18238,8894,37877
2005,6,"537","537 - Hamilton",14111,10950,1211,1950,10950,1905,1256,933,9578,3600,7425,6686,3108,1715,9288
2005,6,"539","539 - St. Catharines--Niagara",8889,6795,767,1327,6795,1255,839,610,6053,2226,4595,4294,1945,1140,5804
2005,6,"541","541 - Kitchener--Cambridge--Waterloo",6078,4849,439,790,4849,802,427,607,3964,1507,3122,2956,1616,836,3626
2005,6,"543","543 - Brantford",3436,2548,355,533,2548,526,362,298,2306,832,1759,1677,755,465,2216
2005,6,"550","550 - Guelph",1811,1461,151,199,1461,220,130,172,1238,401,906,905,464,198,1149
2005,6,"555","555 - London",9195,7099,736,1360,7099,1311,785,591,6368,2236,4720,4475,2223,1144,5828
2005,6,"559","559 - Windsor",6067,4716,484,867,4716,824,527,417,3901,1749,3071,2996,1465,730,3872
2005,6,"568","568 - Barrie",2273,1793,215,265,1793,305,175,238,1536,499,1115,1158,568,307,1398
2005,6,"580","580 - Greater Sudbury",4545,3527,398,620,3527,640,378,341,3282,922,2359,2185,935,630,2980
2005,6,"595","595 - Thunder Bay",3514,2796,346,372,2796,466,252,240,2569,705,1805,1709,770,440,2304
2005,9,"505","505 - Ottawa--Gatineau",15896,12544,1356,1996,12544,1967,1385,1085,10441,4370,8285,7611,3753,2014,10129
2005,9,"521","521 - Kingston",4162,3143,382,637,3143,615,404,315,2957,890,2167,1995,866,458,2838
2005,9,"529","529 - Peterborough",2595,2038,188,369,2038,343,214,226,1780,589,1347,1248,563,351,1681
2005,9,"532","532 - Oshawa",4577,3710,401,466,3710,554,313,432,3122,1023,2258,2319,1170,646,2761
2005,9,"535","535 - Toronto",65560,52640,4378,8542,52640,8256,4664,4309,38947,22304,34170,31390,18591,9058,37911
2005,9,"537","537 - Hamilton",14179,10990,1221,1968,10990,1911,1278,937,9585,3657,7458,6721,3100,1795,9284
2005,9,"539","539 - St. Catharines--Niagara",8978,6870,770,1338,6870,1275,833,622,6103,2253,4662,4316,1991,1124,5863
2005,9,"541","541 - Kitchener--Cambridge--Waterloo",6166,4926,446,794,4926,804,436,629,4009,1528,3165,3001,1640,885,3641
2005,9,"543","543 - Brantford",3448,2560,362,526,2560,531,357,293,2315,840,1757,1691,739,484,2225
2005,9,"550","550 - Guelph",1817,1474,151,192,1474,218,125,170,1240,407,903,914,453,216,1148
2005,9,"555","555 - London",9236,7140,746,1350,7140,1295,801,633,6341,2262,4760,4476,2158,1206,5872
2005,9,"559","559 - Windsor",6134,4768,492,874,4768,825,541,430,3946,1758,3115,3019,1486,745,3903
