"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa04","moa512","moa1318","moa19"
2004,12,"537","537 - Hamilton",10413,4723,4271,1419,4723,2353,3337,2090,7603,720,4329,6084,2874,2667,1324,3548
2004,12,"539","539 - St. Catharines--Niagara",6150,2997,2421,732,2997,1434,1719,1365,4400,385,2556,3594,2227,1613,633,1677
2004,12,"541","541 - Kitchener--Cambridge--Waterloo",5912,2805,2308,799,2805,1377,1730,1269,4206,437,2508,3404,2023,1522,551,1816
2004,12,"543","543 - Brantford",1512,664,724,124,664,359,489,403,1044,65,533,979,563,409,181,359
2004,12,"550","550 - Guelph",861,446,342,73,446,214,201,196,604,61,343,518,365,231,78,187
2004,12,"555","555 - London",8475,4141,3141,1193,4141,1965,2369,1848,6030,597,3668,4807,2528,2459,928,2560
2004,12,"559","559 - Windsor",6264,2999,2549,716,2999,1393,1872,1462,4391,411,2533,3731,1917,1659,689,1999
2004,12,"568","568 - Barrie",1461,738,596,127,738,364,359,390,990,81,583,878,672,403,144,242
2004,12,"580","580 - Greater Sudbury",3699,2019,1330,350,2019,858,822,1038,2483,178,1573,2126,1097,980,367,1255
2004,12,"595","595 - Thunder Bay",1970,978,830,162,978,455,537,474,1401,95,757,1213,634,591,196,549
2005,3,"505","505 - Ottawa--Gatineau",17690,9717,5916,2057,9717,3037,4936,3524,12854,1312,8120,9570,4549,4811,1846,6484
2005,3,"521","521 - Kingston",2812,1535,1019,258,1535,605,672,738,1939,135,1168,1644,867,808,306,831
2005,3,"529","529 - Peterborough",2281,1270,749,262,1270,486,525,660,1498,123,1023,1258,664,617,279,721
2005,3,"532","532 - Oshawa",3974,1963,1659,352,1963,967,1044,957,2769,248,1531,2443,1210,1141,456,1167
2005,3,"535","535 - Toronto",80920,44416,27246,9258,44416,15917,20587,13833,59114,7973,35735,45185,20765,24170,9673,26312
2005,3,"537","537 - Hamilton",10910,5140,4290,1480,5140,2400,3370,2216,7981,713,4723,6187,3008,3027,1240,3635
2005,3,"539","539 - St. Catharines--Niagara",6710,3419,2477,814,3419,1498,1793,1506,4811,393,2914,3796,2329,2009,669,1703
2005,3,"541","541 - Kitchener--Cambridge--Waterloo",6166,3041,2284,841,3041,1391,1734,1379,4313,474,2702,3464,2112,1691,526,1837
2005,3,"543","543 - Brantford",1614,744,724,146,744,357,513,449,1100,65,606,1008,548,510,192,364
2005,3,"550","550 - Guelph",930,514,335,81,514,205,211,242,621,67,394,536,409,253,78,190
2005,3,"555","555 - London",8761,4444,3082,1235,4444,1925,2392,1952,6201,608,3960,4801,2578,2608,980,2595
2005,3,"559","559 - Windsor",6579,3264,2587,728,3264,1414,1901,1530,4619,430,2756,3823,1893,1900,728,2058
2005,3,"568","568 - Barrie",1671,912,623,136,912,369,390,425,1142,104,723,948,766,509,143,253
2005,3,"580","580 - Greater Sudbury",3844,2127,1346,371,2127,871,846,1112,2549,183,1667,2177,1089,1091,379,1285
2005,3,"595","595 - Thunder Bay",2010,1031,814,165,1031,458,521,476,1433,101,816,1194,599,642,210,559
2005,6,"505","505 - Ottawa--Gatineau",17608,9554,6045,2009,9554,3135,4919,3636,12723,1249,7852,9756,4496,4862,1811,6439
2005,6,"521","521 - Kingston",2800,1487,1065,248,1487,651,662,760,1906,134,1099,1701,806,842,296,856
2005,6,"529","529 - Peterborough",2350,1322,770,258,1322,498,530,694,1533,123,1042,1308,671,678,260,741
2005,6,"532","532 - Oshawa",4050,1967,1721,362,1967,1022,1061,987,2809,254,1473,2577,1258,1164,441,1187
2005,6,"535","535 - Toronto",81653,44849,27755,9049,44849,16222,20582,14425,59204,8024,35423,46230,19496,25340,9784,27033
2005,6,"537","537 - Hamilton",10782,5069,4296,1417,5069,2368,3345,2224,7817,741,4571,6211,2863,3109,1140,3670
2005,6,"539","539 - St. Catharines--Niagara",6292,3086,2456,750,3086,1493,1713,1405,4489,398,2601,3691,1897,1989,650,1756
2005,6,"541","541 - Kitchener--Cambridge--Waterloo",6096,2923,2381,792,2923,1436,1737,1383,4242,471,2521,3575,2003,1742,540,1811
2005,6,"543","543 - Brantford",1533,666,724,143,666,377,490,450,1020,63,517,1016,497,484,166,386
2005,6,"550","550 - Guelph",903,484,342,77,484,201,218,216,622,65,342,561,360,273,88,182
2005,6,"555","555 - London",8434,4184,3092,1158,4184,1886,2364,1922,5923,589,3651,4783,2302,2584,958,2590
2005,6,"559","559 - Windsor",6699,3282,2661,756,3282,1482,1935,1629,4626,444,2720,3979,1803,2035,748,2113
2005,6,"568","568 - Barrie",1641,865,662,114,865,423,353,436,1113,92,653,988,687,543,136,275
2005,6,"580","580 - Greater Sudbury",3867,2084,1411,372,2084,897,886,1154,2538,175,1567,2300,1155,1059,390,1263
2005,6,"595","595 - Thunder Bay",2109,1047,890,172,1047,500,562,484,1521,104,828,1281,717,628,228,536
2005,9,"505","505 - Ottawa--Gatineau",17450,9426,6063,1961,9426,3151,4873,3526,12652,1272,7695,9755,4580,4626,1897,6347
2005,9,"521","521 - Kingston",2758,1446,1040,272,1446,650,662,718,1899,141,1069,1689,841,743,307,867
2005,9,"529","529 - Peterborough",2360,1284,818,258,1284,527,549,671,1562,127,991,1369,709,621,240,790
2005,9,"532","532 - Oshawa",3957,1900,1732,325,1900,1013,1044,958,2734,265,1373,2584,1198,1123,394,1242
2005,9,"535","535 - Toronto",82291,44765,28506,9020,44765,16569,20957,14404,59761,8126,35110,47181,19600,24299,10324,28068
2005,9,"537","537 - Hamilton",10602,4889,4354,1359,4889,2401,3312,2210,7653,739,4345,6257,2939,2924,1136,3603
2005,9,"539","539 - St. Catharines--Niagara",6234,3001,2484,749,3001,1500,1733,1368,4490,376,2497,3737,2075,1706,724,1729
2005,9,"541","541 - Kitchener--Cambridge--Waterloo",6045,2881,2389,775,2881,1416,1748,1369,4199,477,2413,3632,1918,1669,642,1816
2005,9,"543","543 - Brantford",1547,662,736,149,662,383,502,442,1043,62,508,1039,517,448,181,401
2005,9,"550","550 - Guelph",933,473,378,82,473,240,220,220,644,69,351,582,386,273,79,195
2005,9,"555","555 - London",8419,4184,3119,1116,4184,1890,2345,1892,5931,596,3580,4839,2417,2362,1026,2614
2005,9,"559","559 - Windsor",6720,3265,2711,744,3265,1504,1951,1628,4645,447,2666,4054,1752,2016,790,2162
2005,9,"568","568 - Barrie",1687,897,669,121,897,420,370,452,1129,106,645,1042,693,556,156,282
2005,9,"580","580 - Greater Sudbury",3733,2009,1374,350,2009,884,840,1068,2474,191,1529,2204,1130,975,381,1247
2005,9,"595","595 - Thunder Bay",2010,992,853,165,992,478,540,477,1438,95,785,1225,646,611,217,536
2005,12,"505","505 - Ottawa--Gatineau",16834,9160,5788,1886,9160,3050,4624,3409,12165,1260,7473,9361,4452,4344,1855,6183
2005,12,"521","521 - Kingston",2699,1461,972,266,1461,614,624,721,1845,133,1106,1593,848,723,312,816
2005,12,"529","529 - Peterborough",2334,1275,801,258,1275,543,516,663,1544,127,1008,1326,685,636,228,785
